Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
1989-03-08,154.0,154.0,154.0,154.0,0.0,0.0,
1989-03-09,156.0,156.0,156.0,156.0,0.0,1.0,
1989-03-10,155.0,155.0,155.0,155.0,0.0,1.0,
1989-03-13,155.0,155.0,155.0,155.0,0.0,0.0,
1989-03-14,156.0,156.0,156.0,156.0,0.0,1.0,
1989-03-15,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-16,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-17,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-20,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-21,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-22,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-23,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-24,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-27,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-28,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-29,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-30,156.0,156.0,156.0,156.0,0.0,0.0,
1989-03-31,156.0,156.0,156.0,156.0,0.0,0.0,
1989-04-03,156.0,156.0,156.0,156.0,0.0,0.0,
1989-04-04,156.0,156.0,156.0,156.0,0.0,0.0,
1989-04-05,166.0,166.0,166.0,166.0,0.0,1.0,
1989-04-06,162.0,162.0,162.0,162.0,0.0,1.0,
1989-04-07,161.0,161.0,161.0,161.0,0.0,1.0,
1989-04-10,162.0,162.0,162.0,162.0,0.0,1.0,
1989-04-11,161.0,161.0,161.0,161.0,0.0,1.0,
1989-04-12,161.0,161.0,161.0,161.0,0.0,0.0,
1989-04-13,162.0,162.0,162.0,162.0,0.0,1.0,
1989-04-14,162.0,162.0,162.0,162.0,0.0,0.0,
1989-04-17,161.0,161.0,161.0,161.0,0.0,1.0,
1989-04-18,162.0,162.0,162.0,162.0,0.0,1.0,
1989-04-19,161.0,161.0,161.0,161.0,0.0,1.0,
1989-04-20,162.0,162.0,162.0,162.0,0.0,1.0,
1989-04-21,161.0,161.0,161.0,161.0,0.0,1.0,
1989-04-24,162.0,162.0,162.0,162.0,0.0,1.0,
1989-04-25,152.0,152.0,152.0,152.0,0.0,1.0,
1989-04-26,152.0,152.0,152.0,152.0,0.0,0.0,
1989-04-27,161.0,161.0,161.0,161.0,0.0,1.0,
1989-04-28,162.0,162.0,162.0,162.0,0.0,1.0,
1989-05-01,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-02,152.0,152.0,152.0,152.0,0.0,1.0,
1989-05-03,164.0,164.0,164.0,164.0,0.0,1.0,
1989-05-04,162.0,162.0,162.0,162.0,0.0,1.0,
1989-05-05,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-08,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-09,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-10,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-11,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-12,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-15,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-16,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-17,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-18,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-19,162.0,162.0,162.0,162.0,0.0,0.0,
1989-05-22,167.0,167.0,167.0,167.0,0.0,1.0,
1989-05-23,166.0,166.0,166.0,166.0,0.0,1.0,
1989-05-24,166.0,166.0,166.0,166.0,0.0,0.0,
1989-05-25,167.0,167.0,167.0,167.0,0.0,1.0,
1989-05-26,167.0,167.0,167.0,167.0,0.0,0.0,
1989-05-29,167.0,167.0,167.0,167.0,0.0,0.0,
1989-05-30,167.0,167.0,167.0,167.0,0.0,0.0,
1989-05-31,167.0,167.0,167.0,167.0,0.0,0.0,
1989-06-01,159.0,159.0,159.0,159.0,0.0,1.0,
1989-06-02,157.0,157.0,157.0,157.0,0.0,1.0,
1989-06-05,157.0,157.0,157.0,157.0,0.0,0.0,
1989-06-06,169.0,169.0,169.0,169.0,0.0,1.0,
1989-06-07,169.0,169.0,169.0,169.0,0.0,0.0,
1989-06-08,169.0,169.0,169.0,169.0,0.0,0.0,
1989-06-09,176.0,176.0,176.0,176.0,0.0,1.0,
1989-06-12,177.0,177.0,177.0,177.0,0.0,1.0,
1989-06-13,179.0,179.0,179.0,179.0,0.0,1.0,
1989-06-14,169.0,169.0,169.0,169.0,0.0,1.0,
1989-06-15,169.0,169.0,169.0,169.0,0.0,0.0,
1989-06-16,169.0,169.0,169.0,169.0,0.0,0.0,
1989-06-19,169.0,169.0,169.0,169.0,0.0,0.0,
1989-06-20,190.0,190.0,190.0,190.0,0.0,1.0,
1989-06-21,180.0,180.0,180.0,180.0,0.0,1.0,
1989-06-22,192.0,192.0,192.0,192.0,0.0,1.0,
1989-06-23,190.0,190.0,190.0,190.0,0.0,1.0,
1989-06-26,190.0,190.0,190.0,190.0,0.0,0.0,
1989-06-27,190.0,190.0,190.0,190.0,0.0,0.0,
1989-06-28,192.0,192.0,192.0,192.0,0.0,1.0,
1989-06-29,192.0,192.0,192.0,192.0,0.0,0.0,
1989-06-30,192.0,192.0,192.0,192.0,0.0,0.0,
1989-07-03,195.0,195.0,195.0,195.0,0.0,1.0,
1989-07-04,195.0,195.0,195.0,195.0,0.0,0.0,
1989-07-05,195.0,195.0,195.0,195.0,0.0,0.0,
1989-07-06,195.0,195.0,195.0,195.0,0.0,0.0,
1989-07-07,195.0,195.0,195.0,195.0,0.0,0.0,
