version 0.8.7

eikonproj
  - data
    - metadata
      - comp_list
        - available.csv
        - available.pickle
        - comp_list.csv
        - comp_list.pickle
        - comp_list_all.csv
        - comp_list_all.pickle
        - comp_list_dup_cname.csv
        - comp_list_dup_ric1.csv
        - delisted.csv
        - delisted_G23.csv
        - ind_list.csv
        - no_data.txt
        - no_timestamp.txt
        - screen_230706.csv
        - screen_230706.xlsx
      - tl
      - basic_param_tl_table.xlsx
      - business_days.csv
      - cred_rating.csv
      - firm_characteristics.xlsx
      - ref-comp.csv
      - tr_entries.txt
      - trs_additional.csv
      - trs_to_fetch.csv
      - yf-ek translation.xlsx
    - preprocessed
    - price_stuff
    - processed
  - DataComputation
  - DataPreparation
  - deprecated
    - wrds
      - comp_funda.csv
      - comp_fundq.csv
      - comp_secd.csv
  - Misc
    - papers
    - _eikon_api_manual.pdf
  - requirements.txt
