Instrument,TR.BUILDINGSGROSS,TR.BUILDINGSGROSS.CALCDATE
KIBO.L,,
AVGRq.L,,
SHCS.L,,
IKA.L,,
CAPD.L,,
JUP.L,,
TIA.L,,
OCDO.L,,
GCPI.L,,
DPP.L,,
ARGR.L,,
SCLP.L,,
CAML.L,,
AVAP.L,,
MPL.L,,
INS.L,,
SAVS.L,,
FTSV.L,,
GMAA.L,,
ZIOC.L,,
TMTI.L,,
HUMR.L,,
EUZ.L,,
BRFI.L,,
EEEE.L,,
KIBO.L,,
AVGRq.L,,
SHCS.L,,
IKA.L,,
CAPD.L,,
JUP.L,,
TIA.L,,
OCDO.L,,
GCPI.L,,
DPP.L,,
ARGR.L,,
SCLP.L,,
CAML.L,,
AVAP.L,,
MPL.L,,
INS.L,,
SAVS.L,,
FTSV.L,,
GMAA.L,,
ZIOC.L,,
TMTI.L,,
HUMR.L,,
EUZ.L,,
BRFI.L,,
EEEE.L,,
