Instrument,TR.ACCOUNTSPAYABLE,TR.ACCOUNTSPAYABLE.CALCDATE,TR.ACCTSRECEIVTRADENET,TR.ACCTSRECEIVTRADENET.CALCDATE,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.BUILDINGSGROSS,TR.BUILDINGSGROSS.CALCDATE,TR.CAPITALEXPENDITURES,TR.CAPITALEXPENDITURES.CALCDATE,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.CASHANDSTINVESTMENTS,TR.CASHANDSTINVESTMENTS.CALCDATE,TR.CASHFROMOPERATINGACT,TR.CASHFROMOPERATINGACT.CALCDATE,TR.COSTOFREVENUETOTAL,TR.COSTOFREVENUETOTAL.CALCDATE,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.DEPRDEPLETIONANDAMORT,TR.DEPRDEPLETIONANDAMORT.CALCDATE,TR.EBITACTVALUE,TR.EBITACTVALUE.CALCDATE,TR.EBITDAACTVALUE,TR.EBITDAACTVALUE.CALCDATE,TR.EMPLOYEES,TR.EMPLOYEES.CALCDATE,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.GROSSDIVIDENDSCMNSTOCK,TR.GROSSDIVIDENDSCMNSTOCK.CALCDATE,TR.INCOMETAXESPAYABLE,TR.INCOMETAXESPAYABLE.CALCDATE,TR.INTEXPENSENETNONOPER,TR.INTEXPENSENETNONOPER.CALCDATE,TR.INTANGIBLESNET,TR.INTANGIBLESNET.CALCDATE,TR.INTERESTINCOMENONOPERATING,TR.INTERESTINCOMENONOPERATING.CALCDATE,TR.INVENTORYACTVALUE,TR.INVENTORYACTVALUE.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.LEASEEXPENSETOTAL,TR.LEASEEXPENSETOTAL.CALCDATE,TR.MINORITYINTERESTBSSTMT,TR.MINORITYINTERESTBSSTMT.CALCDATE,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.NETINCOMEBEFOREEXTRAITEMS,TR.NETINCOMEBEFOREEXTRAITEMS.CALCDATE,TR.NETINCOMEBEFORETAXES,TR.NETINCOMEBEFORETAXES.CALCDATE,TR.OTHERCURRENTASSETS,TR.OTHERCURRENTASSETS.CALCDATE,TR.OTHERCURRENTLIABTOTAL,TR.OTHERCURRENTLIABTOTAL.CALCDATE,TR.OTHERLTASSETSTOTAL,TR.OTHERLTASSETSTOTAL.CALCDATE,TR.OTHERLIABILITIESTOTAL,TR.OTHERLIABILITIESTOTAL.CALCDATE,TR.OTHERNONOPERATINGINCOME,TR.OTHERNONOPERATINGINCOME.CALCDATE,TR.PPTYPLANTEQPMTTTLGROSS,TR.PPTYPLANTEQPMTTTLGROSS.CALCDATE,TR.PROPERTYPLANTEQUIPMENTTOTALNET,TR.PROPERTYPLANTEQUIPMENTTOTALNET.CALCDATE,TR.RECEIVABLESOTHER,TR.RECEIVABLESOTHER.CALCDATE,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.RESEARCHANDDEVELOPMENT,TR.RESEARCHANDDEVELOPMENT.CALCDATE,TR.REVENUE,TR.REVENUE.CALCDATE,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.CALCDATE,TR.SGAEXPENSETOTAL,TR.SGAEXPENSETOTAL.CALCDATE,TR.SPECIALITEMSMM,TR.SPECIALITEMSMM.CALCDATE,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXDEFTOT,TR.TAXDEFTOT.CALCDATE,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TOTALASSETSREPORTED,TR.TOTALASSETSREPORTED.CALCDATE,TR.TOTALCURRLIABILITIES,TR.TOTALCURRLIABILITIES.CALCDATE,TR.TOTALCURRENTASSETS,TR.TOTALCURRENTASSETS.CALCDATE,TR.TOTALDEBTOUTSTANDING,TR.TOTALDEBTOUTSTANDING.CALCDATE,TR.TOTALEQUITY,TR.TOTALEQUITY.CALCDATE,TR.TOTALINVENTORY,TR.TOTALINVENTORY.CALCDATE,TR.TOTALLIABILITIES,TR.TOTALLIABILITIES.CALCDATE,TR.TOTALLONGTERMDEBT,TR.TOTALLONGTERMDEBT.CALCDATE,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE
BSCT.L^I01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRYq.L^G94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRW.L^I22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRT.L^G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRSN.L^I17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRPI.L^H16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRMBq.L^G95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRG.L^G93,1539999701.1168,1998-03-31,,1998-03-31,,,,,,,-231801859.91604,1998-03-31,,,666999870.54864,1998-03-31,1332114551.19132,1998-03-31,956058314.93268,1998-03-31,,,,,1035646879.90691,1998-03-31,,,,,20017,1998-03-31,,1998-03-31,334272210.00768,1998-03-31,,,,,100999980.39792,1998-03-31,,,,,-1108271493.00286,1998-03-31,,,16999996.70064,1998-03-31,-305421334.73916,1998-03-31,-305421334.73916,1998-03-31,1228649343.3318,1998-03-31,,1998-03-31,497999903.34816,1998-03-31,,,2657999484.13536,1998-03-31,,,,1998-03-31,16221996851.6342,1998-03-31,,1998-03-31,,,,,5323483915.92588,1998-03-31,,,,,,,286519021.530249,1998-03-31,441716848.93872,1998-03-31,560104923.31644,1998-03-31,1532080962.5352,1998-03-31,18230996461.7275,1998-03-31,4804999067.4456,1998-03-31,1584999692.3832,1998-03-31,3316999356.23664,1998-03-31,8891998274.24064,1998-03-31,102999980.00976,1998-03-31,9338998187.48688,1998-03-31,1858999639.20528,1998-03-31,,,,
BRG.L^G93,1539999701.1168,1998-06-30,,1998-06-30,,,,,,,-231801859.91604,1998-06-30,,,666999870.54864,1998-06-30,1332114551.19132,1998-06-30,956058314.93268,1998-06-30,,,,,1035646879.90691,1998-06-30,,,,,20017,1998-06-30,,1998-06-30,334272210.00768,1998-06-30,,,,,100999980.39792,1998-06-30,,,,,-1108271493.00286,1998-06-30,,,16999996.70064,1998-06-30,-305421334.73916,1998-06-30,-305421334.73916,1998-06-30,1228649343.3318,1998-06-30,,1998-06-30,497999903.34816,1998-06-30,,,2657999484.13536,1998-06-30,,,,1998-06-30,16221996851.6342,1998-06-30,,1998-06-30,,,,,5323483915.92588,1998-06-30,,,,,,,286519021.530249,1998-06-30,441716848.93872,1998-06-30,560104923.31644,1998-06-30,1532080962.5352,1998-06-30,18230996461.7275,1998-06-30,4804999067.4456,1998-06-30,1584999692.3832,1998-06-30,3316999356.23664,1998-06-30,8891998274.24064,1998-06-30,102999980.00976,1998-06-30,9338998187.48688,1998-06-30,1858999639.20528,1998-06-30,,,,
BRG.L^G93,1539999701.1168,1998-09-30,,1998-09-30,,,,,,,-231801859.91604,1998-09-30,,,666999870.54864,1998-09-30,1332114551.19132,1998-09-30,956058314.93268,1998-09-30,,,,,1035646879.90691,1998-09-30,,,,,20017,1998-09-30,,1998-09-30,334272210.00768,1998-09-30,,,,,100999980.39792,1998-09-30,,,,,-1108271493.00286,1998-09-30,,,16999996.70064,1998-09-30,-305421334.73916,1998-09-30,-305421334.73916,1998-09-30,1228649343.3318,1998-09-30,,1998-09-30,497999903.34816,1998-09-30,,,2657999484.13536,1998-09-30,,,,1998-09-30,16221996851.6342,1998-09-30,,1998-09-30,,,,,5323483915.92588,1998-09-30,,,,,,,286519021.530249,1998-09-30,441716848.93872,1998-09-30,560104923.31644,1998-09-30,1532080962.5352,1998-09-30,18230996461.7275,1998-09-30,4804999067.4456,1998-09-30,1584999692.3832,1998-09-30,3316999356.23664,1998-09-30,8891998274.24064,1998-09-30,102999980.00976,1998-09-30,9338998187.48688,1998-09-30,1858999639.20528,1998-09-30,,,,
