Date,CLOSE,COUNT,HIGH,LOW,OPEN,VOLUME
1994-06-16,54.25,,,,,
1994-06-17,54.25,,,,,
1994-06-20,54.125,,,,,
1994-06-21,52.9375,,,,,
1994-06-22,50.8125,,,,,
1994-06-23,51.0625,,,,,
1994-06-24,50.75,,,,,
1994-06-28,52.3125,,,,,
1994-06-29,51.8125,,,,,
1994-06-30,50.8125,,,,,
1994-07-01,49.75,,,,,
1994-07-04,50.0625,,,,,
1994-07-05,50.0625,,,,,
1994-07-06,50.625,,,,,
1994-07-07,52.0,,,,,
1994-07-08,51.9375,,,,,
1994-07-11,52.625,,,,,
1994-07-12,53.4375,,,,,
1994-07-13,54.375,,,,,
1994-07-14,54.25,,,,,
1994-07-15,53.9375,,,,,
1994-07-18,53.9375,,,,,
1994-07-19,54.0,,,,,
1994-07-20,54.3125,,,,,
1994-07-21,53.5625,,,,,
1994-07-22,52.9375,,,,,
1994-07-25,53.0625,,,,,
1994-07-26,53.5,,,,,
1994-07-27,53.75,,,,,
1994-07-28,53.0625,,,,,
1994-07-29,53.375,,,,,
1994-08-01,53.9375,,,,,
1994-08-02,54.6875,,,,,
1994-08-03,54.4375,,,,,
1994-08-04,54.0625,,,,,
1994-08-05,53.5625,,,,,
1994-08-08,52.125,,,,,
1994-08-09,51.5625,,,,,
1994-08-10,51.8125,,,,,
1994-08-11,52.0,,,,,
1994-08-12,51.25,,,,,
1994-08-15,52.3125,,,,,
1994-08-16,52.875,,,,,
1994-08-17,54.1875,,,,,
1994-08-18,54.625,,,,,
1994-08-19,53.75,,,,,
1994-08-22,53.6875,,,,,
1994-08-23,53.375,,,,,
1994-08-24,55.5625,,,,,
1994-08-25,57.0625,,,,,
1994-08-26,55.6875,,,,,
1994-08-31,57.375,,,,,
1994-09-01,57.5,,,,,
1994-09-02,56.9375,,,,,
1994-09-05,56.375,,,,,
1994-09-06,56.375,,,,,
1994-09-07,27.75,,,,,
1994-09-08,27.3125,,,,,
1994-09-09,27.375,,,,,
1994-09-12,27.4375,,,,,
1994-09-13,26.4375,,,,,
1994-09-14,26.5625,,,,,
1994-09-15,27.3125,,,,,
1994-09-16,28.625,,,,,
1994-09-19,27.9375,,,,,
1994-09-20,28.0625,,,,,
1994-09-21,27.4375,,,,,
1994-09-22,26.8125,,,,,
1994-09-23,26.875,,,,,
1994-09-26,26.8125,,,,,
1994-09-27,26.4375,,,,,
1994-09-28,26.25,,,,,
1994-09-29,27.0625,,,,,
1994-09-30,26.75,,,,,
1994-10-03,26.8125,,,,,
1994-10-04,26.9375,,,,,
1994-10-05,26.8125,,,,,
1994-10-06,26.375,,,,,
1994-10-07,26.1875,,,,,
1994-10-10,26.375,,,,,
1994-10-11,26.375,,,,,
1994-10-12,27.5625,,,,,
1994-10-13,27.3125,,,,,
1994-10-14,27.5,,,,,
1994-10-17,27.5,,,,,
1994-10-18,27.5625,,,,,
1994-10-19,27.6875,,,,,
1994-10-20,27.8125,,,,,
1994-10-21,27.5625,,,,,
1994-10-24,27.875,,,,,
1994-10-25,28.875,,,,,
1994-10-26,28.5625,,,,,
1994-10-27,28.3125,,,,,
1994-10-28,28.0,,,,,
1994-10-31,27.6875,,,,,
1994-11-01,28.0,,,,,
1994-11-02,28.125,,,,,
1994-11-03,29.0,,,,,
1994-11-04,28.6875,,,,,
1994-11-07,28.4375,,,,,
1994-11-08,27.5625,,,,,
1994-11-09,28.375,,,,,
1994-11-10,28.9375,,,,,
1994-11-11,28.75,,,,,
1994-11-14,28.4375,,,,,
1994-11-15,28.5,,,,,
1994-11-16,27.8125,,,,,
1994-11-17,28.1875,,,,,
1994-11-18,27.9375,,,,,
1994-11-21,27.5625,,,,,
1994-11-22,27.1875,,,,,
1994-11-23,25.5625,,,,,
1994-11-24,26.0625,,,,,
1994-11-25,26.0625,,,,,
1994-11-28,26.9375,,,,,
1994-11-29,26.75,,,,,
1994-11-30,26.375,,,,,
1994-12-01,26.75,,,,,
1994-12-02,26.125,,,,,
1994-12-05,26.4375,,,,,
1994-12-06,27.25,,,,,
