Instrument,Revenue,Bank Total Revenue,Cost Of Goods Sold - Actual,Total Interest Expenses,"Selling/General/Administrative Expense, Total",Labor And Related Expense,"Depreciation, Depletion And Amortization, Discrete",Research And Development,Advertising Expense,Net Income Before Extraordinary Items,EBITDA,EBIT,Interest Income - Non-Operating,Other Non-Operating Income (Expense),Special Items (MM),Net Income Before Taxes,Income Taxes Payable,Net Income Incl Extra Before Distributions,Income Tax - Total,"Interest Expense, Net Non-Operating",Interest Expense,"Capital Expenditures, Cumulative","Cash from Operating Activities, Cumulative",Gross Dividends - Common Stock,Backlog Value - Actual,"Accounts Receivable - Trade, Net",Receivables - Other,"Other Earning Assets, Total",Trading Account Assets,Total Current Assets,Cash and Short Term Investments,Trading Account Assets,Total Investment Securities,"Property, Plant And Equipment, Total - Gross",Total Inventory,"Other Long Term Assets, Total","Total Assets, Reported",Other Current Assets,"Goodwill, Net","Intangibles, Net","Other Long Term Assets, Total","Property/Plant/Equipment, Total - Net","Right-of-Use Assets Held Under Operating Lease - Gross, Supplemental","Right-of-Use Assets Held Under Capital/Finance Lease - Gross, Supplemental",Total Current Liabilities,Total Debt,Total Long Term Debt,"Lease Expense, Total",Total Liabilities,Minority Interest,Capital Lease Obligations,Warrants Converted,Total Preferred Shares Outstanding,Accounts Payable,"Other Current liabilities, Total","Other Liabilities, Total",Deferred Revenue - Current,Deferred Revenue - Long Term,Deferred Tax - Total,Total Equity,"Issuance (Retirement) of Stock, Net, Discrete",Full-Time Employees,Outstanding Shares
HSBA.L,,68985000000.0,,21366000000.0,,-18468000000.0,2538000000.0,,,5834000000.0,9148000000.0,6704000000.0,,,375000000.0,7079000000.0,2140000000.0,5834000000.0,385000000.0,,21366000000.0,-2956000000.0,6898000000.0,5893000000.0,,,,1096069000000.0,421381000000.0,,,421381000000.0,369158000000.0,25165000000.0,,8620000000.0,2364452000000.0,,,29994000000.0,8620000000.0,13802000000.0,,,,258122000000.0,240659000000.0,,2236153000000.0,7362000000.0,644000000.0,,,,3371000000.0,656045000000.0,,,-1668000000,128299000000.0,18183000000.0,289485,17408204472
HSBA.L,,73048000000.0,,18904000000.0,,-19836000000.0,2801000000.0,,,13159000000.0,21405000000.0,18661000000.0,,,1095000000.0,19037000000.0,1804000000.0,13159000000.0,4846000000.0,,18904000000.0,-3712000000.0,55742000000.0,6323000000.0,,,,1102632000000.0,385052000000.0,,,385052000000.0,400755000000.0,22211000000.0,,9002000000.0,2454689000000.0,,,29922000000.0,9002000000.0,11521000000.0,,,,301931000000.0,249148000000.0,,2307022000000.0,7248000000.0,454000000.0,,,,3007000000.0,463976000000.0,,,1135000000,147667000000.0,4074000000.0,295061,17408204472
HSBA.L,,80603000000.0,,22343000000.0,,-21166000000.0,3135000000.0,,,16797000000.0,25480000000.0,22789000000.0,,,-479000000.0,21872000000.0,2117000000.0,16797000000.0,3928000000.0,,22343000000.0,-3076000000.0,79762000000.0,7344000000.0,,,,1107730000000.0,330451000000.0,,,330451000000.0,400044000000.0,20859000000.0,,47284000000.0,2555579000000.0,,21338000000.0,7696000000.0,47284000000.0,10865000000.0,,,,286764000000.0,265842000000.0,,2396854000000.0,7368000000.0,428000000.0,,,,3002000000.0,538237000000.0,,,-1147000000,158725000000.0,-265000000.0,288316,17408204472
HSBA.L,,73505000000.0,,19030000000.0,,-20491000000.0,2531000000.0,,,14027000000.0,24018000000.0,21642000000.0,,,6775000000.0,20649000000.0,1452000000.0,14027000000.0,5315000000.0,,19030000000.0,-2326000000.0,-9156000000.0,8261000000.0,,,,1234383000000.0,408811000000.0,,,408811000000.0,421101000000.0,21198000000.0,,29685000000.0,2692538000000.0,,21390000000.0,8463000000.0,29685000000.0,10588000000.0,,,,277952000000.0,255210000000.0,,2517296000000.0,7887000000.0,304000000.0,,,,1452000000.0,548244000000.0,,,-495000000,175242000000.0,569000000.0,260591,17408204472
HSBA.L,,71737000000.0,,15653000000.0,,-19196000000.0,2330000000.0,,,16204000000.0,24185000000.0,21890000000.0,,,675000000.0,22565000000.0,607000000.0,16204000000.0,4765000000.0,,15653000000.0,-2786000000.0,44977000000.0,9176000000.0,,,,1242534000000.0,303192000000.0,,,303192000000.0,425925000000.0,21927000000.0,,13646000000.0,2671318000000.0,,21179000000.0,8739000000.0,13646000000.0,10847000000.0,,,,429929000000.0,240489000000.0,,2489447000000.0,8588000000.0,,,,,607000000.0,441225000000.0,,,824000000,181871000000.0,265000000.0,254066,17408204472
HSBA.L,,80713000000.0,,16250000000.0,,-20366000000.0,2251000000.0,,,13688000000.0,22769000000.0,20451000000.0,,,-1771000000.0,18680000000.0,1213000000.0,13688000000.0,3975000000.0,,16250000000.0,-2380000000.0,-21372000000.0,9583000000.0,,,,1267225000000.0,304193000000.0,,,304193000000.0,415467000000.0,21831000000.0,,19786000000.0,2634139000000.0,,19169000000.0,8408000000.0,19786000000.0,10532000000.0,,,,361000000000.0,225894000000.0,,2443692000000.0,9531000000.0,,,,,1213000000.0,490757000000.0,,,25000000,190447000000.0,5618000000.0,257603,17408204472
HSBA.L,,76959000000.0,,14658000000.0,,-19900000000.0,2181000000.0,,,13522000000.0,22950000000.0,20744000000.0,,,-1877000000.0,18867000000.0,783000000.0,13522000000.0,3771000000.0,,14658000000.0,-2306000000.0,-1122000000.0,9999000000.0,,,,1122902000000.0,224837000000.0,,,224837000000.0,428955000000.0,,,55223000000.0,2409656000000.0,,16294000000.0,8302000000.0,55223000000.0,9923000000.0,,,,311174000000.0,202364000000.0,,2221196000000.0,9058000000.0,,,,,783000000.0,443255000000.0,,,-26000000,188460000000.0,3595000000.0,255203,17408204472
HSBA.L,,70028000000.0,,12601000000.0,,-18089000000.0,5212000000.0,,,2479000000.0,18888000000.0,16882000000.0,,,-9770000000.0,7112000000.0,719000000.0,2479000000.0,3666000000.0,,12601000000.0,-2057000000.0,68959000000.0,10134000000.0,,,,1158918000000.0,235125000000.0,,,235125000000.0,436797000000.0,,,15266000000.0,2374986000000.0,,12330000000.0,9016000000.0,15266000000.0,9373000000.0,,,,320436000000.0,200250000000.0,,2199600000000.0,7192000000.0,,,,,719000000.0,419780000000.0,,,-3000000,175386000000.0,-1788000000.0,235175,17408204472
HSBA.L,,69193000000.0,,12819000000.0,,-17315000000.0,1862000000.0,,,12086000000.0,29873000000.0,28011000000.0,,,-3430000000.0,17167000000.0,928000000.0,10798000000.0,4000000000.0,,12819000000.0,-2452000000.0,-12414000000.0,10223000000.0,,,,1140127000000.0,287995000000.0,,,287995000000.0,389076000000.0,,,14209000000.0,2521771000000.0,,13588000000.0,9865000000.0,14209000000.0,10027000000.0,,,,377943000000.0,214755000000.0,,2331521000000.0,7621000000.0,,,,,928000000.0,381155000000.0,,,-264000000,190250000000.0,2129000000.0,228687,17408204472
HSBA.L,,71132000000.0,,19120000000.0,,-17373000000.0,1933000000.0,,,13727000000.0,34516000000.0,32583000000.0,,,-1860000000.0,19890000000.0,718000000.0,13727000000.0,4865000000.0,,19120000000.0,-3044000000.0,32515000000.0,10195000000.0,,,,1182634000000.0,238130000000.0,,,238130000000.0,407433000000.0,,,13119000000.0,2558124000000.0,,12986000000.0,11371000000.0,13119000000.0,10060000000.0,,,,434966000000.0,234132000000.0,,2371871000000.0,7996000000.0,,,,,718000000.0,457173000000.0,,,670000000,186253000000.0,-1942000000.0,235217,17408204472
