datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2008-06-05,,15000000.0,,,26700000.0,12200000.0,10000000.0,75100000.0,394900000.0,3400000.0,4600000.0,21400000.0,101000000.0,122400000.0,10417,253100000.0,32600000.0,12300000.0,12100000.0,256800000.0,2500000.0,-18500000.0,64000000.0,64000000.0,90200000.0,1900000.0,27100000.0,1900000.0,27800000.0,324500000.0,116200000.0,,,797400000.0,,301500000.0,-2600000.0,,-700000.0,26200000.0,578100000.0,136100000.0,205100000.0,383200000.0,221700000.0,151600000.0,356400000.0,,,,26200000.0,191500000.0,3400000.0,
2008-11-20,,15000000.0,,,26700000.0,12200000.0,10000000.0,75100000.0,394900000.0,3400000.0,4600000.0,21400000.0,101000000.0,122400000.0,10417,253100000.0,32600000.0,12300000.0,12100000.0,256800000.0,2500000.0,-18500000.0,64000000.0,64000000.0,90200000.0,1900000.0,27100000.0,1900000.0,27800000.0,324500000.0,116200000.0,,,797400000.0,,301500000.0,-2600000.0,,-700000.0,26200000.0,578100000.0,136100000.0,205100000.0,383200000.0,221700000.0,151600000.0,356400000.0,,,,26200000.0,191500000.0,3400000.0,
2009-06-10,,13800000.0,,,22700000.0,12000000.0,15500000.0,73800000.0,388100000.0,3200000.0,4600000.0,25100000.0,104000000.0,129100000.0,10316,253100000.0,33300000.0,12200000.0,10500000.0,259500000.0,2100000.0,-13100000.0,55800000.0,55800000.0,77500000.0,14000000.0,32200000.0,16700000.0,33100000.0,337100000.0,107500000.0,,,809500000.0,,317400000.0,-17200000.0,,-3700000.0,21700000.0,583800000.0,114800000.0,214100000.0,383200000.0,244400000.0,147000000.0,339400000.0,,,,21700000.0,191500000.0,3200000.0,
2009-11-19,,13800000.0,,,22700000.0,12000000.0,15500000.0,73800000.0,388100000.0,3200000.0,4600000.0,25100000.0,104000000.0,129100000.0,10316,253100000.0,33300000.0,12200000.0,10500000.0,259500000.0,2100000.0,-13100000.0,55800000.0,55800000.0,77500000.0,14000000.0,32200000.0,16700000.0,33100000.0,337100000.0,107500000.0,,,809500000.0,,317400000.0,-17200000.0,,-3700000.0,21700000.0,583800000.0,114800000.0,214100000.0,383200000.0,244400000.0,147000000.0,339400000.0,,,,21700000.0,191500000.0,3200000.0,
2010-06-10,,15700000.0,,,19100000.0,11800000.0,36500000.0,148100000.0,378900000.0,3700000.0,4600000.0,24100000.0,119700000.0,143800000.0,10827,322800000.0,41800000.0,17500000.0,4300000.0,348700000.0,1800000.0,900000.0,77000000.0,77000000.0,109700000.0,3000000.0,47100000.0,3000000.0,31300000.0,355700000.0,102900000.0,,,831600000.0,,333000000.0,-13100000.0,,-1700000.0,32700000.0,672500000.0,170400000.0,220900000.0,383800000.0,278500000.0,138500000.0,394000000.0,,,,32700000.0,191800000.0,3700000.0,
2010-11-18,,15700000.0,,,19100000.0,11800000.0,36500000.0,148100000.0,378900000.0,3700000.0,4600000.0,24100000.0,119700000.0,143800000.0,10827,322800000.0,41800000.0,17500000.0,4300000.0,348700000.0,1800000.0,900000.0,77000000.0,77000000.0,109700000.0,3000000.0,47100000.0,3000000.0,31300000.0,355700000.0,102900000.0,,,831600000.0,,333000000.0,-13100000.0,,-1700000.0,32700000.0,672500000.0,170400000.0,220900000.0,383800000.0,278500000.0,138500000.0,394000000.0,,,,32700000.0,191800000.0,3700000.0,
2011-06-09,,12900000.0,,,22100000.0,11500000.0,2700000.0,118400000.0,384700000.0,3700000.0,4600000.0,25000000.0,128100000.0,153100000.0,11624,322800000.0,45400000.0,23400000.0,3300000.0,346700000.0,1200000.0,4500000.0,85500000.0,85500000.0,118100000.0,300000.0,45200000.0,300000.0,35200000.0,368800000.0,102600000.0,,,869700000.0,,356900000.0,-7600000.0,,1000000.0,32600000.0,641900000.0,185700000.0,192600000.0,204200000.0,322400000.0,147600000.0,319500000.0,,,,32600000.0,98300000.0,3700000.0,
2011-11-10,,12900000.0,,,22100000.0,11500000.0,2700000.0,118400000.0,384700000.0,3700000.0,4600000.0,25000000.0,128100000.0,153100000.0,11624,322800000.0,45400000.0,23400000.0,3300000.0,346700000.0,1200000.0,4500000.0,85500000.0,85500000.0,118100000.0,300000.0,45200000.0,300000.0,35200000.0,368800000.0,102600000.0,,,869700000.0,,356900000.0,-7600000.0,,1000000.0,32600000.0,641900000.0,185700000.0,192600000.0,204200000.0,322400000.0,147600000.0,319500000.0,,,,32600000.0,98300000.0,3700000.0,
2012-05-31,,16000000.0,,,19300000.0,11200000.0,13400000.0,89700000.0,390300000.0,4000000.0,4600000.0,26000000.0,97200000.0,123200000.0,12051,322800000.0,42900000.0,24800000.0,4200000.0,343900000.0,-600000.0,-60600000.0,68400000.0,68400000.0,94100000.0,300000.0,44200000.0,300000.0,31300000.0,380900000.0,97900000.0,,,863100000.0,,375600000.0,700000.0,,-200000.0,25700000.0,647200000.0,178300000.0,205400000.0,302400000.0,287100000.0,146700000.0,360100000.0,,,,25700000.0,149800000.0,4000000.0,
2012-11-21,,16000000.0,,,19300000.0,11200000.0,13400000.0,89700000.0,390300000.0,4000000.0,4600000.0,26000000.0,97200000.0,123200000.0,12051,322800000.0,42900000.0,24800000.0,4200000.0,343900000.0,-600000.0,-60600000.0,68400000.0,68400000.0,94100000.0,300000.0,44200000.0,300000.0,31300000.0,380900000.0,97900000.0,,,863100000.0,,375600000.0,700000.0,,-200000.0,25700000.0,647200000.0,178300000.0,205400000.0,302400000.0,287100000.0,146700000.0,360100000.0,,,,25700000.0,149800000.0,4000000.0,
