datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2007-03-30,,,,,,,3746129.67,-356155.66,,,,,,
2007-12-21,,,,,,,3746129.67,-939676.48,,,,,,
2008-03-31,,,,,,,3746129.67,-939676.48,,,,,,
2008-12-17,,,,,,,31501122.75,-1906878.0,,,,,,
2009-03-31,,,,,,,31501122.75,-1906878.0,,,,,,
2009-11-25,,,,,,,31501122.75,-21990948.6412,,,,,,
2010-03-19,,,,,,,31501122.75,-21990948.6412,,,,,,
2010-10-11,,,,,,,31501122.75,-1511693.3559,,,,,,
2011-02-09,,,,,,,31501122.75,-1511693.3559,,,,,,
