,absacc,acc,age,agr,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0003q.L^J08,0.031782487264038,-0.031782487264038,37.0,,,0.0976068265053591,-12.301607596126711,0.0,0.0,0.4419354718659952,,,0.0373742915044796,,0.6277076948229714,0.0437545403019151,1.0,,0.0,,0.0,0.1247826764738431,,5.330991401961127e-07,,,0.0,,0.0,,,,,,,,,,-1.0416739796017864,0.5462024150289212,0.0,0.0002020749473328,0.0665324147384368,5.035602143461485,17.054701181265337,7.2722422103048014,,0.0
0008q.L^H00,0.0,-0.0,0.0,,,0.0,-0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,-0.0,0.0,,,,0.0,0.0,0.0,,
0010q.L^J08,0.0019073947256754,-0.0019073947256754,25.0,,,0.0360513503957355,-21.872210065645493,0.0,0.0,0.0636120460496837,,,0.0908407241377865,,1.208472572104263,0.2167832167832168,1.0,,0.0,,0.0,0.0327996269236748,,2.2153001459236743e-08,,,0.0,,0.0,,,,,,,,,,-0.1753572808033962,0.6526656727160539,,,0.0369244579961014,1.194638949671772,1.009989825178055,3.071448663853724,,0.0
0011q.L^J08,,,25.0,,,0.0100857761701071,,,,,,,,,,0.0813331196923572,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012q.L^J08,0.0227328894574634,0.0227328894574634,27.0,,,0.0691482649842271,-34.43353303108807,0.0,0.0,0.0592837486157084,,,0.3967988602663248,,2.2005312504940933,0.0989032510771641,1.0,,0.0,,0.0,0.0220950601849159,,1.028489705594578e-07,,,0.0,,0.0,,,,,,,,,,0.9480863963622584,0.4742833652189087,,,0.0231833815288389,1.904711787564765,0.2154881846492032,1.396758489669913,,0.0
0013q.L^J08,0.0,0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0
0016q.L^J08,0.0139323647477019,0.0139323647477019,37.0,,,0.1622771135152163,-30.198670350543924,0.0,0.0,0.1484518716689734,,,0.5055027567147458,,3.317436030546867,0.1207567391253698,1.0,,0.0,,0.0,0.0562128728721942,,1.303745148455087e-06,,,0.0,,0.0,,,,,,,,,,0.4147727272727277,0.5674531072828831,,,0.0478107106909088,3.680797789673632,0.4235652968762411,6.830249138828806,,0.0
0017q.L^J08,0.009906592073004,-0.009906592073004,37.0,,,0.0225594251823404,-6.38010196684232,-0.0,-0.0,0.150885103269198,,,0.2867457828969755,,1.3911666988719598,0.1265702103038014,1.0,,0.0,,0.0,0.0305404085683841,,8.349743847875523e-07,,,0.0,,0.0,,,,,,,,,,-1.808974694971024,0.7900359250688457,,,,0.8993696930713686,0.7589401807890258,3.8088039922744574,,0.0
0018q.L^F97,0.0296109409258425,-0.0296109409258425,25.0,,,1.0307635954662038,-3.244927647455518,,,0.4957916390015609,,,0.0634553483960254,,10.54843083598358,0.0773182371105079,1.0,,,,,0.322798422460309,,1.0576361942210531e-10,,,,,0.0,,,,,,,,,,-0.3654464328551566,10.01188275028972,,,,1.1612849258119973,11.269098817619314,11.556724833901407,,
0020q.L^J08,0.0200241872096591,-0.0200241872096591,26.0,,,0.0470236439499303,-13.460161954068772,0.0,0.0,0.1104007188090269,,,0.0,,1.482899139824679,0.0463117689185962,0.0,,0.0,,0.0,0.0513592588277572,,4.5608404802620213e-07,,,0.0,,0.0,,,,,,,,,,-1.330317235364659,0.5360185584364908,,,0.0637636949363939,1.2881720430107544,0.525968324173144,3.3482161341522265,,0.0
