,absacc,acc,age,agr,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0003q.L^J08,0.031782487264038,-0.031782487264038,37.0,,,0.0976068265053591,-12.301607596126711,0.0,0.0,0.4476311329628411,,,0.0373742915044796,,0.6277076948229714,0.0437545403019151,1.0,,0.0,,0.0,0.1247826764738431,,6.262517423393178e-07,,,0.0,,0.0,,,,,,,,,,-1.0416739796017864,0.5462024150289212,0.0,0.0002020749473328,0.0665324147384368,5.035602143461485,17.054701181265337,7.2722422103048014,,0.0
0008q.L^H00,0.0,-0.0,0.0,,,0.0,-0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,-0.0,0.0,,,,0.0,0.0,0.0,,
0010q.L^J08,0.0019073947256754,-0.0019073947256754,26.0,,,0.0360513503957355,-21.872210065645493,0.0,0.0,0.0644318776292719,,,0.0908407241377865,,1.208472572104263,0.2167832167832168,1.0,,0.0,,0.0,0.0327996269236748,,2.6023969494283613e-08,,,0.0,,0.0,,,,,,,,,,-0.1753572808033962,0.6526656727160539,,,0.0369244579961014,1.194638949671772,1.009989825178055,3.071448663853724,,0.0
0011q.L^J08,,,25.0,,,0.0100857761701071,,,,,,,,,,0.0813331196923572,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012q.L^J08,0.0227328894574634,0.0227328894574634,27.0,,,0.0691482649842271,-34.43353303108807,0.0,0.0,0.0600477971299405,,,0.3967988602663248,,2.2005312504940933,0.0989032510771641,1.0,,0.0,,0.0,0.0220950601849159,,1.208205794272547e-07,,,0.0,,0.0,,,,,,,,,,0.9480863963622584,0.4742833652189087,,,0.0231833815288389,1.904711787564765,0.2154881846492032,1.396758489669913,,0.0
0013q.L^J08,0.0,0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0
0016q.L^J08,0.0125909057700475,0.0125909057700475,38.0,,,0.1521588662653181,-33.17953475096338,0.0,0.0,0.1352191722638402,,,0.0,,4.002340643837373,0.1111556000444889,0.0,,0.0,,0.0,0.0493346062927286,,1.6083466330799228e-06,,,0.0,,0.0,,,,,,,,,,0.3978090766823162,0.6739130434782611,,,0.0447659529833907,3.698539555682417,0.3744785997090751,4.223085279739269,,0.0
0017q.L^J08,0.0060155635329027,-0.0060155635329027,38.0,,,0.0201063817857636,-6.777725961118072,-0.0,-0.0,0.1506678558497444,,,0.0,,1.1177864139693336,0.1295602809583372,0.0,,0.0,,0.0,0.0286934454544295,,1.2380633128533111e-06,,,0.0,,0.0,,,,,,,,,,-1.0548202073681852,0.6297340243315299,,,,0.9467556062618584,0.8087660077992257,3.4427211612225923,,0.0
0018q.L^F97,0.0296109409258425,-0.0296109409258425,25.0,,,1.0307635954662038,-3.244927647455518,,,0.5021813979826162,,,0.0634553483960254,,10.54843083598358,0.0773182371105079,1.0,,,,,0.322798422460309,,1.2424452779053443e-10,,,,,0.0,,,,,,,,,,-0.3654464328551566,10.01188275028972,,,,1.1612849258119973,11.269098817619314,11.556724833901407,,
0020q.L^J08,0.0,-0.0,0.0,,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,-0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0
0023q.L^J08,,,26.0,,,0.0078832983750726,,,,,,,,,,0.1094667871667419,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041q.L^J08,0.0218782639861129,-0.0218782639861129,26.0,,,0.0082169504011267,-13.58249959825716,0.0,0.0,0.0922265297586994,,,0.2134548962952029,,1.3607558356777438,0.0397705653979642,1.0,,0.0,,0.0,0.0268075294985413,,1.3383784074390367e-08,,,0.0,,0.0,,,,,,,,,,-5.2281207292489125,0.5197870860473568,,,0.0375113871297004,1.1428952372778869,0.6152428072391977,13.68138106237181,,0.0
