firms,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
CRGT.L,-0.14583333333333337,0.15662650602409633,0.26315789473684204,0.3913043478260869,0.352112676056338,0.3407821229050281,0.26315789473684204,0.6000000000000001,0.6551724137931034,0.6551724137931034,0.5118110236220472,0.476923076923077,0.5737704918032787,0.5483870967741935,0.8823529411764706,0.7777777777777777,0.6271186440677967,0.6842105263157894,0.6271186440677967,0.83206106870229,0.6134453781512605,1.526315789473684,0.8640776699029127,0.4328358208955223,0.4545454545454546,0.476923076923077,0.23076923076923084,0.0786516853932584,0.32413793103448274,0.30612244897959173,0.46564885496183206,0.9393939393939394,1.1333333333333333,1.4303797468354431,1.8444444444444446,1.8872180451127818,1.953846153846154,1.7826086956521738,2.4909090909090907,2.398230088495575,3.5176470588235293,3.6265060240963853,4.485714285714286,4.1891891891891895,4.818181818181818,5.0,5.193548387096774,5.857142857142857,6.111111111111111
CRH.L,-0.057115198451113236,0.05408163265306132,0.08660589060308554,0.11917659804983738,0.11877256317689522,0.13433382137628103,0.18508604206500956,0.24457831325301216,0.1974497681607419,0.2869601328903655,0.27321281840591616,0.3773333333333333,0.48704414587332057,0.3953174245835209,0.33808290155440424,0.2278129952456418,0.20069740410693537,0.2244172263927302,0.1703172205438066,0.11274685816876118,0.19976771196283383,0.28429341069208447,0.2674846625766871,0.20349514563106785,0.16899283289324774,0.2167255594817432,0.114748201438849,0.10245464247598712,0.13350402340892464,0.16067415730337076,0.11877256317689522,0.09621506897771481,0.09932600212841436,0.11514933429291108,0.08584442887175903,0.10916249105225484,0.09505300353356883,0.1805714285714286,0.18917881811204906,0.20069740410693537,0.22490118577075102,0.3568301225919439,0.4144226380648106,0.49421407907425263,0.5588531187122736,0.5643614336193841,0.6589935760171306,0.6760411032990805,0.6165884194053208
CRN.L,-0.06718750000000029,0.05785123966942152,0.10154905335628239,0.12676056338028174,0.23552123552123572,0.24271844660194164,0.06312292358804017,0.045751633986928164,-0.0015600624024960652,-0.1048951048951049,-0.03903903903903905,-0.007751937984496138,0.17647058823529416,0.022364217252396346,-0.1048951048951049,-0.12328767123287654,-0.1773778920308483,-0.24528301886792447,-0.2668957617411226,-0.28809788654060065,-0.2849162011173184,-0.30359085963003274,-0.25494761350407447,-0.34560327198364005,-0.3515704154002026,-0.29085872576177285,-0.3052917232021709,-0.242603550295858,-0.2579710144927536,-0.1873015873015873,-0.14950166112956798,-0.19999999999999996,-0.182108626198083,-0.13804713804713797,-0.015384615384615441,0.001956947162426559,-0.051851851851851816,-0.007751937984496138,0.08474576271186463,0.19069767441860486,0.16894977168949787,0.3368146214099217,0.3333333333333335,0.17972350230414746,0.14285714285714257,0.1130434782608698,0.09783206042707815,0.07486486251019375,0.08393545206724173
CRPL.L,0.0,0.0,0.0,-0.029673590504451064,0.0,0.0,-0.012084592145015005,0.006153846153846176,0.006153846153846176,0.006153846153846176,0.006153846153846176,0.0092592592592593,0.0092592592592593,0.0092592592592593,0.0092592592592593,0.0092592592592593,0.09000000000000008,0.09000000000000008,0.0721311475409836,0.0721311475409836,0.12371134020618557,0.12758620689655165,0.14335664335664355,0.14335664335664355,0.12758620689655165,0.13246753246753262,0.13246753246753262,0.13246753246753262,0.13246753246753262,0.13246753246753262,0.12758620689655165,0.12758620689655165,0.12758620689655165,0.1373913043478261,0.1473684210526316,0.1473684210526316,0.12758620689655165,0.1890909090909092,0.25769230769230766,0.25769230769230766,0.2224299065420563,0.2224299065420563,0.1890909090909092,0.1890909090909092,0.1373913043478261,0.12758620689655165,0.1473684210526316,0.1473684210526316,0.1473684210526316
CRPR.L,0.0,-0.03956834532374098,-0.014760147601476037,-0.018382352941176516,0.10330578512396693,0.11250000000000004,0.30243902439024395,0.35532994923857864,0.30243902439024395,0.3622448979591837,0.39790575916230364,0.16086956521739126,0.459016393442623,0.24766355140186924,0.02298850574712641,0.03689320388349504,-0.09491525423728808,-0.18721461187214616,-0.05319148936170215,-0.043010752688172005,-0.06968641114982577,-0.08404802744425388,-0.22043795620437956,-0.2714870395634379,-0.199400299850075,-0.22043795620437956,-0.1129568106312292,-0.21585903083700442,-0.27935222672064774,-0.22608695652173916,-0.2283236994219653,-0.1129568106312292,-0.07130434782608697,-0.07452339688041598,-0.02732240437158473,-0.04129263913824055,0.17621145374449343,0.21363636363636362,0.33834586466165417,0.390625,0.4751381215469612,0.5,0.8337912087912087,0.7281553398058251,0.8163265306122449,1.0697674418604652,1.0617760617760617,1.3116883116883118,1.0617760617760617
CRST.L,0.14103149246919222,0.1501312335958005,0.15315789473684216,0.15255128879537083,0.26647398843930636,0.20782800441014326,0.2336711711711712,0.2172222222222222,0.11671763506625887,0.1685333333333332,0.09167912306925774,0.14952780692549839,0.3254688445251057,0.28429073856975373,0.20583379196477725,0.2650115473441108,0.15803382663847776,0.15803382663847776,0.13700051894135967,-0.004995458673932807,-0.1031518624641834,-0.04531590413943354,-0.06606990622335895,-0.1314172447968286,-0.1967002749770853,-0.13484698914116489,-0.2412121212121212,-0.23591979075850045,-0.1974358974358975,-0.19001848428835488,-0.15486981677917067,-0.28747967479674796,-0.2739022369511185,-0.19076638965835646,-0.21889483065953652,-0.15811719500480315,-0.03267108167770427,-0.013507429085997336,0.040855106888360915,-0.03565140845070425,-0.09087136929460582,0.07586545543825185,0.10936708860759481,-0.23857515204170288,-0.15892514395393476,-0.2168007149240393,-0.23458515283842796,-0.23658536585365852,-0.19448529411764703
CRU.L,-0.3055555555555556,0.4666666666666668,0.5840000000000001,0.6500000000000001,0.23750000000000004,0.13142857142857145,0.10000000000000009,0.10000000000000009,0.4666666666666668,0.3655172413793104,-0.20799999999999996,-0.1574468085106383,-0.13913043478260867,-0.13913043478260867,-0.03414634146341455,-0.03414634146341455,-0.12,-0.03414634146341455,-0.010000000000000009,-0.010000000000000009,-0.05714285714285716,-0.09999999999999998,-0.12,0.05600000000000005,-0.2384615384615384,-0.2384615384615384,-0.28,-0.2528301886792452,-0.29911504424778756,-0.3172413793103448,-0.3612903225806451,-0.33999999999999997,-0.37142857142857144,-0.3612903225806451,-0.28,-0.25981308411214954,-0.49554140127388535,-0.5341176470588236,-0.5111111111111111,-0.5395348837209302,-0.49230769230769234,-0.5170731707317073,-0.49873417721518987,-0.5285714285714286,-0.55,-0.56,-0.56,-0.5695652173913044,-0.5874999999999999
CRV.L,0.5945945945945945,-0.15909090909090917,-0.1777777777777777,-0.3392857142857142,-0.3728813559322034,-0.3728813559322034,-0.3833333333333333,-0.4126984126984127,-0.3620689655172413,-0.39344262295081955,-0.39344262295081955,-0.4931506849315068,-0.47887323943661964,-0.5795454545454546,-0.4307692307692308,-0.6105263157894736,-0.6105263157894736,-0.48611111111111105,-0.513157894736842,-0.5888888888888888,-0.5595238095238095,-0.5978260869565217,-0.5842696629213483,-0.6421663442940038,-0.6589861751152073,-0.6105263157894736,-0.6084656084656084,-0.6105263157894736,-0.6205128205128205,-0.6262626262626263,-0.6318407960199005,-0.5911602209944751,-0.5066666666666666,-0.5225806451612903,-0.5771428571428572,-0.5771428571428572,-0.6336633663366336,-0.7357142857142858,-0.7723076923076924,-0.8102564102564103,-0.8,-0.8394428662531161,-0.8576191455452162,-0.815946700338938,-0.7205116560702391,-0.7397867142722916,-0.7565746681902084,-0.7641817098092644,-0.6719049875607155
CRW.L,-0.20668058455114824,-0.014403292181069949,-0.022448979591836782,-0.043912175648702645,0.3123287671232877,0.2126582278481013,0.20351758793969843,-0.2173202614379085,-0.11460258780036969,-0.057086614173228356,-0.09792843691148778,-0.14768683274021355,-0.05148514851485153,-0.19765494137353434,-0.22741935483870968,-0.2935103244837758,0.04585152838427953,0.12971698113207553,0.12177985948477743,0.27733333333333343,0.30695770804911326,0.3724928366762177,0.3087431693989071,0.2756324900133156,0.6348122866894197,0.6460481099656357,0.5451612903225806,0.8387715930902111,0.8638132295719845,0.8423076923076922,0.8674463937621832,0.8247619047619048,1.00418410041841,0.9631147540983607,0.9875518672199171,0.87109375,0.8075471698113208,1.3140096618357489,0.9432048681541583,0.882121807465619,1.3596059113300494,1.4130982367758187,2.060702875399361,2.0125786163522013,2.0125786163522013,2.1933333333333334,2.1827242524916945,2.214765100671141,2.0031347962382444
CSH.L,0.07549234135667393,0.017817371937639326,0.07910271546635195,0.061556329849012936,0.11327649208282597,0.09723889555822329,0.08809523809523823,0.11327649208282597,0.0410022779043282,-0.04293193717277477,-0.0767676767676767,-0.11690821256038642,-0.12952380952380949,-0.08599999999999997,-0.17657657657657655,-0.17285067873303162,-0.133649289099526,-0.11690821256038642,-0.1497674418604651,-0.10392156862745094,-0.10829268292682925,-0.06543967280163587,-0.12952380952380949,-0.1497674418604651,-0.19115044247787605,-0.18755555555555548,-0.16719817767653755,-0.17842696629213473,-0.19115044247787605,-0.17285067873303162,-0.1576036866359446,-0.17285067873303162,-0.16909090909090907,-0.16146788990825678,-0.14579439252336446,-0.12952380952380949,-0.1158403869407496,-0.11903614457831324,,,,,,,,,,,
