shitty_name,TR_name
xad,TR.AdvertisingExpense
ni,TR.NetIncome
ob,TR.BacklogValueActual
dm,TR.CapitalLeaseObligations
dcvt,TR.WarrantsConverted
drc,TR.DeferredRevenueCurrent
drlt,TR.DeferredRevenueLT
scstkc,TR.IssuanceRetirementOfStockNet
pstk,TR.TtlPreferredSharesOut
pstkq,TR.RedeemablePreferredTtl
txfed,TR.TaxCurDom
txt,TR.TaxOthIncTot
gdwlia,TR.GoodwillNet
revt,TR.Revenue
cogs,TR.CostofRevenueTotal
xsga,TR.SgaExpenseTotal
dp,TR.DeprDepletionAndAmort
xrd,TR.ResearchAndDevelopment
ib,TR.NetIncomeBeforeExtraItems
ebitda,TR.EBITDAActValue
ebit,TR.EBITActValue
nopi,TR.InterestIncomeNonOperating
nopi1,TR.OtherNonOperatingIncome
spi,TR.SpecialItemsMM
pi,TR.NetIncomeBeforeTaxes
txp,TR.IncomeTaxesPayable
xint,TR.IntExpenseNetNonOper
capx,TR.CapitalExpenditures
oancf,TR.CashFromOperatingAct
dvt,TR.GrossDividendsCmnStock
rect,TR.AcctsReceivTradeNet
rect1,TR.ReceivablesOther
act,TR.TotalCurrentAssets
che,TR.CashAndSTInvestments
ppegt,TR.PptyPlantEqpmtTtlGross
invt,TR.TotalInventory
invt2,TR.InventoryActValue
at,TR.TotalAssetsReported
aco,TR.OtherCurrentAssets
intan,TR.IntangiblesNet
ao,TR.OtherLTAssetsTotal
ppent,TR.PropertyPlantEquipmentTotalNet
fatb,TR.BuildingGross
fatl,TR.RightOfUseAssetsOperLeaseGrossSupp
fatl1,TR.RightOfUseAssetsCapLeaseGrossSupp
lct,TR.TotalCurrLiabilities
dlc,TR.TotalDebtOutstanding
dlc1,TR.LeaseExpenseTotal
dlc11,TR.TotalLongTermDebt
lt,TR.TotalLiabilities
lt1,TR.MinorityInterestBSStmt
ap,TR.AccountsPayable
lco,TR.OtherCurrentLiabTotal
lo,TR.OtherLiabilitiesTotal
txdi,TR.TaxDefTot
ceq,TR.TotalEquity
emp,TR.Employees
