datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2017-02-24,188740.0,,,,243110.0,,3849650.0,-3800770.0,,,,,,,,,,,,455350.0,,,-2488920.0,-2488920.0,-2488920.0,,,,,,226710.0,,,907410.0,,3417660.0,,,,,10339610.0,188740.0,4857550.0,,9948860.0,,188740.0,,,,,,,
2017-09-29,453360.0,,,,177250.0,,272960.0,-3021150.0,300970.0,13880.0,,102550.0,,,,,,,,455350.0,,4657740.0,-5087130.0,-5087130.0,-5087130.0,,13880.0,,,,206290.0,,,-588770.0,,3909330.0,-303150.0,,,,11924690.0,1611540.0,1486780.0,1144300.0,10313160.0,,1611540.0,,,,,,13880.0,
2018-02-28,453360.0,,,,177250.0,,272960.0,-3021150.0,300970.0,13880.0,,102550.0,,,,,,,,455350.0,,4657740.0,-5087130.0,-5087130.0,-5087130.0,,13880.0,,,,206290.0,,,-588770.0,,3909330.0,-303150.0,,,,11924690.0,1611540.0,1486780.0,1144300.0,10313160.0,,1611540.0,,,,,,13880.0,
2018-10-17,240170.0,,,,17130.0,,282810.0,-5180440.0,138780.0,13880.0,,109380.0,,,,,,,,455350.0,,6085000.0,-9828060.0,-9828060.0,-9828060.0,,13880.0,,,,114040.0,,,-4092930.0,,5400420.0,-205850.0,,,,8945830.0,2763900.0,1253350.0,2523730.0,6181940.0,,2763900.0,,,,,,13880.0,
2019-02-28,240170.0,,,,17130.0,,282810.0,-5180440.0,138780.0,13880.0,,109380.0,,,,,,,,455350.0,,6085000.0,-9828060.0,-9828060.0,-9828060.0,,13880.0,,,,114040.0,,,-4092930.0,,5400420.0,-205850.0,,,,8945830.0,2763900.0,1253350.0,2523730.0,6181940.0,,2763900.0,,,,,,13880.0,
