Date,CLOSE
1994-06-17,19.0
1994-06-20,18.2
1994-06-21,18.325
1994-06-22,18.325
1994-06-23,18.35
1994-06-24,18.175
1994-06-28,18.85
1994-06-29,18.5
1994-06-30,18.35
1994-07-01,18.1
1994-07-04,18.225
1994-07-05,18.2
1994-07-06,18.575
1994-07-07,18.4
1994-07-08,18.8
1994-07-11,18.625
1994-07-12,18.3
1994-07-13,18.425
1994-07-14,18.7
1994-07-15,18.875
1994-07-18,18.75
1994-07-19,18.975
1994-07-20,18.95
1994-07-21,18.85
1994-07-22,19.25
1994-07-25,19.3
1994-07-26,19.4
1994-07-27,19.25
1994-07-28,19.1
1994-07-29,19.25
1994-08-01,19.35
1994-08-02,19.75
1994-08-03,20.1
1994-08-04,20.025
1994-08-05,20.0
1994-08-08,19.975
1994-08-09,19.825
1994-08-10,19.675
1994-08-11,19.7
1994-08-12,19.55
1994-08-15,19.275
1994-08-16,19.4
1994-08-17,19.475
1994-08-18,19.65
1994-08-19,19.575
1994-08-22,19.575
1994-08-23,19.775
1994-08-24,19.775
1994-08-25,19.95
1994-08-26,20.275
1994-08-31,20.2
1994-09-01,19.775
1994-09-02,19.825
1994-09-05,19.75
1994-09-06,19.65
1994-09-07,19.675
1994-09-08,19.625
1994-09-09,19.7
1994-09-12,19.425
1994-09-13,19.35
1994-09-14,19.225
1994-09-15,19.275
1994-09-16,19.2
1994-09-19,19.05
1994-09-20,19.275
1994-09-21,19.05
1994-09-22,19.25
1994-09-23,19.9
1994-09-26,20.1
1994-09-27,19.325
1994-09-28,19.6
1994-09-29,19.775
1994-09-30,19.8
1994-10-03,19.85
1994-10-04,19.65
1994-10-05,19.175
1994-10-06,19.225
1994-10-07,19.85
1994-10-10,20.35
1994-10-11,20.45
1994-10-12,20.05
1994-10-13,20.025
1994-10-14,20.15
1994-10-17,20.575
1994-10-18,20.5
1994-10-19,20.45
1994-10-20,20.65
1994-10-21,20.55
1994-10-24,20.6
1994-10-25,20.5
1994-10-26,20.775
1994-10-27,21.075
1994-10-28,21.05
1994-10-31,20.825
1994-11-01,20.625
1994-11-02,20.4
1994-11-03,20.55
1994-11-04,20.725
1994-11-07,20.725
1994-11-08,20.875
1994-11-09,21.225
1994-11-10,21.025
1994-11-11,21.15
1994-11-14,21.275
1994-11-15,21.45
1994-11-16,21.7
1994-11-17,21.675
1994-11-18,21.675
1994-11-21,21.725
1994-11-22,21.65
1994-11-23,21.45
1994-11-24,21.9
1994-11-25,21.775
1994-11-28,21.7
1994-11-29,21.45
1994-11-30,21.45
1994-12-01,21.525
1994-12-02,21.55
1994-12-05,21.65
