Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-10-31,,28.0,,,,
2007-11-05,,26.75,,,,
2007-11-07,,27.25,,,,
2007-11-09,,25.79,,,,
2007-11-15,,29.5,,,,
2007-11-16,,28.76,,,,
2007-11-21,,27.6189,,,,
2007-11-29,,27.68,,,,
2007-11-30,,27.74,,,,
2007-12-03,,27.7699,,,,
2007-12-05,,27.1475,,,3,13610
2007-12-06,,27.0989,,,,
2007-12-07,,27.371,,,,
2007-12-10,,27.202,,,,
2007-12-11,,27.4904,,,,
2007-12-12,,27.95,,,1,4000
2008-01-03,,27.4,,,,
2008-01-18,,24.15,,,,
2008-01-23,,23.2,,,1,2943
2008-01-25,,23.4,,,,
2008-01-30,,24.34,,,1,487
2008-03-04,,24.279,,,1,4000
2008-03-17,,23.4,,,1,815
2008-03-25,,22.64,,,,
2008-03-26,,22.8745,,,1,352
2008-03-28,,24.5797,,,1,2253
2008-03-31,,24.5797,,,,
2008-04-01,,24.96,,,4,1164
2008-04-09,,26.77,,,1,1000
2008-04-16,,24.72,,,,
2008-04-17,,24.6797,,,1,2084
2008-04-22,,25.8,,,1,100
2008-04-23,,25.7933,,,,
2008-04-29,,28.3356,,,1,3991
2008-05-15,,28.5598,,,1,6555
2008-05-16,,28.5598,,,,
2008-05-21,,28.59,,,,
2008-06-02,,28.9561,,,,
2008-06-05,,29.175,,,7,1686
2008-06-06,,29.0172,,,,
2008-06-10,,26.255,,,2,23280
2008-06-13,,28.11,,,1,1194
2008-06-18,,29.36,,,,
2008-07-24,,22.6309,,,1,1800
2008-08-01,,23.64,,,,
2008-08-04,,24.4039,,,1,1600
2008-08-26,,23.0855,,,,
2008-09-05,,25.05,,,1,839
2008-09-08,,24.601,,,,
2008-09-19,,23.93,,,,
2008-09-23,,23.7632,,,,
2008-09-30,,21.6383,,,2,10000
2008-10-09,,19.0,,,,
2008-10-30,15.73,15.6912,16.0,,3,511
2008-11-14,16.74,16.735,17.0,,1,4574
2008-12-03,,17.5287,,,,
2008-12-19,18.03,18.0338,18.0,,1,2505
2008-12-22,19.75,19.75,20.0,,1,5000
