Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2004-04-08,28.39306,28.39306,28.39306,,,131573.666241
2004-04-13,28.39306,28.00937,28.39306,,,169377.62256
2004-04-15,30.31151,28.00937,28.00937,,,322923.45383
2004-04-16,39.13638,31.07889,31.07889,,,132294.300086
2004-04-19,42.2059,37.21793,40.67114,,,257413.53697
2004-04-20,69.0642,42.2059,42.2059,,,655724.673565
2004-04-21,91.31822,66.37837,66.37837,,,1463723.318304
2004-04-22,74.81955,59.47195,74.81955,,,274517.188355
2004-04-23,79.42383,65.61099,65.61099,,,480995.074148
2004-04-26,92.0856,80.5749,80.5749,,,475626.156533
2004-04-27,94.77143,87.48132,88.2487,,,127884.490083
2004-04-28,94.77143,90.93453,92.0856,,,186012.145221
2004-04-29,90.93453,89.01608,90.93453,,,28486.538612
2004-04-30,90.55084,89.01608,89.01608,,,81485.053038
2004-05-04,94.00405,90.55084,90.55084,,,70843.649821
2004-05-05,94.00405,82.87704,94.00405,,,139241.314603
2004-05-06,89.39977,82.87704,82.87704,,,102924.235711
2004-05-07,90.16715,89.39977,89.39977,,,60215.277959
2004-05-10,90.16715,85.56287,90.16715,,,90730.798301
2004-05-11,87.09763,85.56287,85.56287,,,13109.541557
2004-05-12,85.56287,83.26073,85.56287,,,8515.989471
2004-05-13,84.79549,83.26073,83.26073,,,20480.075061
2004-05-14,84.4118,83.64442,84.4118,,,37790.924965
2004-05-17,82.49335,72.13372,82.49335,,,79530.350022
2004-05-18,75.58693,74.05217,75.58693,,,28876.17608
2004-05-19,74.81955,71.75003,74.81955,,,63129.088587
2004-05-20,71.75003,71.75003,71.75003,,,4289.921551
2004-05-21,71.75003,70.21527,71.75003,,,13708.983815
2004-05-24,70.98265,70.21527,70.21527,,,139862.910162
2004-05-25,71.75003,70.98265,70.98265,,,27356.720269
2004-05-26,80.19121,74.81955,74.81955,,,94877.374964
2004-05-27,80.19121,80.19121,80.19121,,,22157.210248
2004-05-28,80.95859,80.5749,80.5749,,,19544.423884
2004-06-01,85.17918,83.26073,83.26073,,,310245.250072
2004-06-02,84.02811,81.72597,84.02811,,,21957.83054
2004-06-03,81.72597,78.65645,81.72597,,,9480.309625
2004-06-04,79.42383,78.65645,78.65645,,,116074.174464
2004-06-07,79.42383,76.738,79.42383,,,15083.791603
2004-06-08,76.738,74.81955,76.738,,,7036.930856
2004-06-09,74.81955,70.98265,74.81955,,,25992.337564
2004-06-10,70.98265,67.14575,70.98265,,,40832.442858
2004-06-11,67.91313,67.14575,67.14575,,,53049.336704
2004-06-14,69.44789,67.52944,69.44789,,,33048.81545
2004-06-15,69.0642,67.52944,67.52944,,,37728.374469
2004-06-16,70.21527,68.68051,68.68051,,,16289.191795
2004-06-17,79.42383,69.83158,70.21527,,,90401.105059
2004-06-18,83.26073,79.42383,79.42383,,,73838.254841
2004-06-21,86.33025,81.72597,82.49335,,,87968.151372
2004-06-22,81.72597,79.42383,81.72597,,,46271.729782
2004-06-23,80.19121,79.42383,79.42383,,,32355.547447
2004-06-24,79.42383,77.50538,79.42383,,,60629.674998
2004-06-25,77.50538,77.50538,77.50538,,,7451.327895
2004-06-28,77.50538,77.50538,77.50538,,,55311.579661
2004-06-29,76.738,76.738,76.738,,,52758.737522
2004-06-30,76.738,76.738,76.738,,,83407.177669
2004-07-01,78.65645,76.738,76.738,,,14893.533842
2004-07-02,78.65645,78.65645,78.65645,,,38244.416065
2004-07-05,80.5749,77.88907,78.65645,,,78150.329693
2004-07-06,81.34228,77.88907,78.65645,,,37139.357294
2004-07-07,96.30619,81.34228,81.34228,,,197447.157862
2004-07-08,97.84095,88.63239,94.77143,,,291972.686283
2004-07-09,113.18855,92.85298,92.85298,,,156483.098335
2004-07-12,141.9653,119.32759,119.71128,,,448742.474393
2004-07-13,141.9653,129.30353,129.30353,,,143920.873622
2004-07-14,131.98936,129.68722,131.98936,,,27075.243035
2004-07-15,128.91984,109.35165,128.91984,,,120992.207251
2004-07-16,127.76877,106.28213,108.58427,,,179998.175611
2004-07-19,124.69925,113.18855,124.69925,,,179809.220986
2004-07-20,115.107,109.35165,115.107,,,69592.639892
2004-07-21,118.9439,108.58427,109.35165,,,254237.796138
2004-07-22,112.03748,97.84095,112.03748,,,188911.621361
2004-07-23,102.44523,100.52678,100.52678,,,59097.187834
2004-07-26,104.36368,100.52678,100.52678,,,56226.380672
2004-07-27,102.82892,100.52678,102.82892,,,36757.538638
2004-07-28,100.52678,98.60833,100.52678,,,35281.086294
2004-07-29,98.99202,92.0856,98.99202,,,40726.888895
2004-07-30,101.29416,92.85298,94.77143,,,167458.104199
2004-08-02,92.85298,84.4118,92.85298,,,57805.780708
2004-08-03,91.31822,82.49335,84.4118,,,178727.61865
2004-08-04,82.49335,75.58693,82.49335,,,38201.412599
2004-08-05,86.33025,79.80752,79.80752,,,84045.713988
2004-08-06,81.34228,78.65645,81.34228,,,23457.739321
2004-08-09,79.42383,78.65645,78.65645,,,13089.994527
2004-08-10,79.42383,79.42383,79.42383,,,10236.128124
2004-08-11,81.34228,79.42383,79.42383,,,6119.523574
2004-08-12,82.10966,81.34228,81.34228,,,13009.200136
2004-08-13,83.26073,82.10966,82.10966,,,7134.666006
2004-08-16,83.26073,82.49335,83.26073,,,10816.023352
2004-08-17,83.26073,75.97062,83.26073,,,37162.81373
2004-08-18,81.34228,77.50538,77.50538,,,129672.391775
2004-08-19,88.2487,81.34228,81.34228,,,69384.138237
2004-08-20,87.09763,87.09763,87.09763,,,10488.936381
2004-08-23,87.09763,86.33025,87.09763,,,11076.650421
2004-08-24,89.39977,87.09763,87.09763,,,22322.708436
2004-08-25,89.39977,89.39977,89.39977,,,10216.581094
2004-08-26,97.84095,91.70191,91.70191,,,53737.392166
2004-08-27,97.84095,92.85298,96.68988,,,83976.647815
2004-08-31,93.23667,89.39977,93.23667,,,45869.060961
2004-09-01,92.85298,92.85298,92.85298,,,9563.710287
2004-09-02,104.74737,92.85298,92.85298,,,74027.209466
2004-09-03,98.99202,98.60833,98.60833,,,19631.733952
2004-09-06,112.80486,98.99202,98.99202,,,73477.286351
2004-09-07,121.62973,108.20058,112.80486,,,91455.341552
2004-09-08,115.87438,115.87438,115.87438,,,160159.243139
2004-09-09,115.87438,112.42117,115.87438,,,21325.809899
2004-09-10,112.42117,111.65379,112.42117,,,20606.479189
2004-09-13,112.42117,111.65379,111.65379,,,15181.526753
2004-09-14,113.57224,111.65379,111.65379,,,9611.926295
2004-09-15,116.25807,113.57224,113.57224,,,23866.923819
2004-09-16,117.40914,115.87438,115.87438,,,6841.460554
2004-09-17,117.40914,117.40914,117.40914,,,2294.82134
2004-09-20,123.93187,116.25807,117.40914,,,43992.546066
2004-09-21,139.27947,123.93187,123.93187,,,172770.986995
2004-09-22,136.20995,131.60567,131.60567,,,47180.015116
2004-09-23,135.44257,135.05888,135.44257,,,35184.654278
2004-09-24,135.05888,135.05888,135.05888,,,3497.615262
2004-09-27,135.05888,121.24604,132.37305,,,140364.617269
2004-09-28,131.60567,124.69925,131.60567,,,33980.557221
2004-09-29,127.76877,127.38508,127.76877,,,880.919492
2004-09-30,129.68722,127.38508,127.38508,,,29273.632359
2004-10-01,135.44257,127.76877,129.30353,,,96877.687717
2004-10-04,152.32493,142.73268,142.73268,,,295179.702364
2004-10-05,207.1926,150.40648,150.40648,,,617060.647919
2004-10-06,198.75142,158.08028,198.75142,,,741613.020928
2004-10-07,158.46397,134.2915,148.87172,,,736083.817665
2004-10-08,171.50943,143.50006,147.72065,,,553762.151737
2004-10-11,188.77548,168.05622,168.05622,,,617542.807996
2004-10-12,168.8236,155.39445,159.99873,,,836813.573458
2004-10-13,168.8236,156.54552,168.8236,,,683086.606375
2004-10-14,160.38242,154.62707,159.61504,,,269291.615627
2004-10-15,156.54552,155.77814,156.54552,,,261863.744168
2004-10-18,156.54552,152.70862,155.77814,,,1565094.216685
2004-10-19,163.06825,156.54552,156.54552,,,930926.007975
2004-10-20,161.91718,153.09231,161.91718,,,520022.674555
2004-10-21,159.23135,156.54552,159.23135,,,5921.447001
2004-10-22,159.61504,155.39445,156.54552,,,263377.987438
2004-10-25,166.90515,159.61504,159.61504,,,308969.48057
2004-10-26,174.19526,164.9867,164.9867,,,224901.613282
2004-10-27,168.8236,167.67253,168.8236,,,129178.503479
2004-10-28,168.43991,168.05622,168.43991,,,157400.505617
2004-10-29,171.89312,168.43991,168.43991,,,13514.816649
2004-11-01,176.4974,175.73002,176.4974,,,96596.210482
2004-11-02,175.73002,167.67253,175.73002,,,307253.251323
2004-11-03,168.8236,167.67253,167.67253,,,24625.348589
2004-11-04,173.42788,168.8236,168.8236,,,289531.913785
2004-11-05,176.4974,173.42788,173.42788,,,168479.762308
2004-11-08,177.64847,176.4974,176.4974,,,288862.102218
2004-11-09,176.4974,175.73002,176.4974,,,34090.02059
2004-11-10,175.73002,173.81157,175.73002,,,288965.04991
2004-11-11,173.81157,173.42788,173.81157,,,55153.900284
2004-11-12,178.41585,173.42788,173.42788,,,154966.248795
2004-11-15,175.73002,174.57895,174.57895,,,39714.352733
2004-11-16,174.57895,173.42788,174.57895,,,34651.671923
2004-11-17,175.34633,173.42788,173.42788,,,1019936.667622
2004-11-18,192.61238,175.34633,175.34633,,,865100.732362
2004-11-19,193.76345,188.0081,188.0081,,,259898.61607
2004-11-22,192.61238,191.07762,192.61238,,,155572.206729
2004-11-23,194.91452,192.61238,192.61238,,,32644.843493
2004-11-24,195.6819,192.61238,194.91452,,,128258.489927
2004-11-25,192.61238,191.46131,192.61238,,,270248.116969
2004-11-26,191.46131,190.69393,191.46131,,,40651.307045
2004-11-29,192.61238,190.69393,191.46131,,,41143.892205
2004-11-30,192.99607,189.92655,191.07762,,,426237.327009
2004-12-01,190.69393,189.92655,189.92655,,,128576.454951
2004-12-02,190.69393,190.69393,190.69393,,,90694.310511
