index,RIC
0,CGIq.L^D99
1,0003q.L^J08
2,0010q.L^J08
3,0020q.L^J08
4,0023q.L^J08
5,0041q.L^J08
6,0054q.L^J08
7,0083q.L^J08
8,0101q.L^J08
9,0166q.L^A97
10,0267q.L^J08
11,0291q.L^J08
12,0330q.L^J08
13,0363q.L^J08
14,0504q.L^D05
15,0511q.L^A98
16,0525q.L^J08
17,0557q.L^A01
18,0762q.L^J08
19,0992q.L^J08
20,0A19.L^D23
21,0A3Y.L^C19
22,0A7A.L^A23
23,0A85.L^C23
24,0A97.L^B23
25,0AGT.L^C19
26,0B5W.L^B22
27,0BCR.L^C23
28,0DFI.L^A08
29,0DG7.L^D10
30,0DHK.L^B11
31,0DHS.L^D10
32,0DHW.L^D17
33,0DJ9.L^A08
34,0DK3.L^D09
35,0DK5.L^A08
36,0DKM.L^D10
37,0DNG.L^A08
38,0DOU.L^A08
39,0DQG.L^C16
40,0DRM.L^D22
41,0DW3.L^D10
42,0DXD.L^C15
43,0DY0.L^D10
44,0DYU.L^A08
45,0DZ3.L^C22
46,0E0C.L^A23
47,0E3W.L^D15
48,0E40.L^C23
49,0E4K.L^A08
50,0E65.L^D21
51,0E87.L^C19
52,0E8A.L^A21
53,0E94.L^D10
54,0EAT.L^D21
55,0ECX.L^C09
56,0EDH.L^D10
57,0EDM.L^D22
58,0EED.L^B09
59,0EEU.L^A22
60,0EF3.L^A08
61,0EF9.L^D21
62,0EGU.L^A08
63,0EIA.L^A22
64,0EID.L^C19
65,0EJK.L^D10
66,0EJY.L^C19
67,0ELN.L^D21
68,0EM4.L^C19
69,0EMR.L^C19
70,0EO4.L^D10
71,0EOJ.L^A08
72,0EQB.L^C09
73,0ERP.L^A11
74,0ERU.L^A08
75,0ERV.L^D10
76,0ESQ.L^A08
77,0ET6.L^A08
78,0EX8.L^D09
79,0EXQ.L^D21
80,0EXT.L^D10
81,0F11.L^A10
82,0F6E.L^A08
83,0F6I.L^B23
84,0F7P.L^D21
85,0F89.L^D22
86,0FA6.L^D10
87,0FAU.L^C09
88,0FB8.L^D20
89,0FDI.L^A09
90,0FF0.L^D21
91,0FGN.L^A08
92,0FIE.L^B22
93,0FIP.L^D10
94,0FIW.L^A08
95,0FJ3.L^B09
96,0FJO.L^D10
97,0FM2.L^C23
98,0FR0.L^C20
99,0FSV.L^A08
100,0FX5.L^A23
101,0FXK.L^D10
102,0FYL.L^D10
103,0FZM.L^A08
104,0G0J.L^D10
105,0G0Q.L^C19
106,0G3U.L^K19
107,0G4J.L^A21
108,0G5M.L^D17
109,0G6U.L^D10
110,0G8E.L^D10
111,0G8X.L^A08
112,0GAN.L^D21
113,0GC7.L^C19
114,0GCZ.L^D21
115,0GD4.L^D10
116,0GEB.L^A08
117,0GGZ.L^A08
118,0GIG.L^C09
119,0GIK.L^D10
120,0GKF.L^B21
121,0GKL.L^C19
122,0GM4.L^C09
123,0GMB.L^A08
124,0GMD.L^A08
125,0GMG.L^A08
126,0GMI.L^A08
127,0GMQ.L^A08
128,0GMT.L^A08
129,0GMV.L^A08
130,0GMW.L^B21
131,0GN3.L^A08
132,0GN7.L^A08
133,0GN8.L^A08
134,0GNH.L^A08
135,0GNJ.L^A08
136,0GNK.L^A08
