index,RIC
0,0HFJ.L^C09
1,0HFJ.L^L18
2,0HTX.L^D10
3,0HTX.L^G20
4,0KNT.L^A19
5,0KNT.L^K09
6,0KOA.L^G20
7,0KOA.L^K09
8,0KUI.L^C20
9,0KUI.L^K09
10,365.L^B07
11,365.L^H17
12,AAF.L
13,AAF.L^L99
14,ABAL.L^B20
15,ABAL.L^I93
16,ABRc.L^C08
17,ABRc.L^F06
18,ABRc.L^K08
19,ACD.L^D98
20,ACD.L^B19
21,ACV.L^C98
22,ACV.L^G07
23,ADE.L^E03
24,ADE.L^J99
25,AEI.L
26,AEI.L^J05
27,AET.L
28,AET.L^I06
29,AFC.L^I06
30,AFC.L^H03
31,AFPA.L
32,AFPA.L^B92
33,AFS.L^E98
34,AFS.L^H21
35,AGC.L^D08
36,AGC.L^H96
37,AGRP.L
38,AGRP.L^A15
39,AGT.L
40,AGT.L^C05
41,AHH.L^F05
42,AHH.L^L95
43,AIE.L
44,AIE.L^H15
45,AISc.L^F06
46,AISc.L^H01
47,AISc.L^J05
48,ALN.L^A12
49,ALN.L^K99
50,AMI.L^G05
51,AMI.L^J98
52,AOM.L
53,AOM.L^D97
54,APIA.L
55,APIA.L^C15
56,APNT.L^A92
57,APNT.L^I12
58,APP.L^E07
59,APP.L^K99
60,APS.L^I98
61,APS.L^L13
62,ARA.L
63,ARA.L^A01
64,ARA.L^J14
65,ARC.L
66,ARC.L^H96
67,ARG.L^A02
68,ARG.L^H98
69,ARL.L^E08
70,ARL.L^J10
71,ARPR.L^A03
72,ARPR.L^E15
73,ART.L
74,ART.L^B12
75,ASHq.L^A00
76,ASHq.L^G94
77,ASO.L^F03
78,ASO.L^E07
79,ASOA.L^A20
80,ASOA.L^A15
81,ASP.L^B09
82,ASP.L^G99
83,ATG.L
84,ATG.L^E03
85,ATM.L
86,ATM.L^I05
87,ATN.L
88,ATN.L^F05
89,ATN.L^J01
90,ATSr.L^F04
91,ATSr.L^G05
92,ATU.L^D97
93,ATU.L^F05
94,AURR.L
95,AURR.L^C16
96,AVR.L^I03
97,AVR.L^J16
98,AWGr.L^C04
99,AWGr.L^I01
100,AWGr.L^J03
101,AZRq.L^A07
102,AZRq.L^K97
103,BABScu.L^I08
104,BABScu.L^H10
105,BATS.L
106,BATS.L^I98
107,BBB.L
108,BBB.L^J14
109,BBR.L^D07
110,BBR.L^F99
111,BCA.L^K19
112,BCA.L^K98
113,BCL.L^B98
114,BCL.L^J99
115,BDVc.L^D07
116,BDVc.L^J04
117,BDYxq.L^D04
118,BDYxq.L^F05
119,BEL.L^I98
120,BEL.L^G04
121,BGO.L
122,BGO.L^K01
123,BGP.L^C98
124,BGP.L^H02
125,BHL.L
126,BHL.L^B00
127,BLLA.L^H90
128,BLLA.L^G09
129,BLM.L^C95
130,BLM.L^H06
131,BMGq.L^A00
132,BMGq.L^F07
133,BND.L^B05
134,BND.L^K99
135,BNT.L^I95
136,BNT.L^H06
137,BOCA.L^B07
138,BOCA.L^I10
139,BOK.L^C18
140,BOK.L^H00
141,BOWL.L
142,BOWL.L^F92
143,BP.L
144,BP.L^A99
145,BRK.L
146,BRK.L^L02
147,BRP.L^E09
148,BRP.L^J96
149,BSS.L^A96
150,BSS.L^A07
151,BTG.L^H19
152,BTG.L^K05
153,BTG.L^K96
154,BWL.L^H07
155,BWL.L^J97
156,BZR.L^D92
157,BZR.L^D01
