Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
VTech Holdings Ord Shs,0303q.L^J08,0303q,10,2008,BMG9400S1329,,
Dfi Retail Group Holdings Ord Shs,0353q.L^D95,0353q,4,1995,PLPREQM00011,,
Mandarin Oriental International Ord Shs,0422q.L^D95,0422q,4,1995,FR0012633360,,
Li & Fung Ord Shs,0494q.L^J08,0494q,10,2008,BMG5485F1692,,
Li & Fung Ord Shs,0494q.L^K00,0494q,11,2000,BMG5485F1692,,
Li & Fung Ord Shs,0494q.L^H01,0494q,8,2001,BMG5485F1692,,
HSBC China Fund Ltd Common Stock,0504q.L^D05,0504q,4,2005,DE000A2AACZ7,,
HSBC China Fund Ltd Common Stock,0504xq.L^D05,0504xq,4,2005,DE000A2AACR4,,
China Unicom (Hong Kong) Ord Shs,0762q.L^J08,0762q,10,2008,HK0000049939,,
Cramo Ord Shs,0A38.L^F20,0A38,6,2020,,,
UnipolSai Ord Shs,0B4I.L^C13,0B4I,3,2013,BMG375851091,,
Fresenius Se and Co Kgaa Ord Shs,0B51.L^K08,0B51,11,2008,DE0005785604,,
Fresenius Se and Co Kgaa Ord Shs,0B51.L^G08,0B51,7,2008,DE0005785604,,
EXOR Ord Shs,0BGK.L^D09,0BGK,4,2009,CA8849038085,884903808,
Italcementi Fabbriche Riunite Cemento Bergamo Ord Shs,0BKH.L^J16,0BKH,10,2016,IT0001465159,,
Metsa Board Ord Shs Class B,0C1B.L^E09,0C1B,5,2009,,,
Commerzbank Ord Shs,0CMZ.L^B19,0CMZ,2,2019,GB0001568285,,
Abengoa Ord Shs,0DFZ.L^E09,0DFZ,5,2009,,,
Aixtron Ord Shs,0DI5.L^J08,0DI5,10,2008,DE000A0WMPJ6,,
Aker Ord Shs,0DID.L^E09,0DID,5,2009,,,
Altran Technologies Ord Shs,0DJZ.L^E08,0DJZ,5,2008,,,
Generali Deutschland Holding Ord Shs,0DK3.L^D09,0DK3,4,2009,GB0031578734,,
Amer Sports Ord Shs,0DKA.L^E09,0DKA,5,2009,,,
April Ord Shs,0DL9.L^E09,0DL9,5,2009,,,
Societe Des Autoroutes Paris Rhin Rhone Ord Shs,0DLB.L^E08,0DLB,5,2008,,,
Arcadis Ord Shs,0DLM.L^E08,0DLM,5,2008,,,
Arcandor Ord Shs,0DLW.L^K08,0DLW,11,2008,DE0006275001,,
ASTM Ord Shs,0DNC.L^E09,0DNC,5,2009,,,
BW Gas Class A Ord Shs,0DQQ.L^E08,0DQQ,5,2008,,,
Boehler Uddeholm Ord Shs,0DR5.L^J08,0DR5,10,2008,AT0000903851,,
Bijou Brigitte Modische Access Ord Shs,0DRJ.L^C09,0DRJ,3,2009,BH0008794115,,
Calatrava Capital Ord Shs,0DS1.L^K09,0DS1,11,2009,PLBRSTM00015,,
Benetton Group Ord Shs,0DT4.L^E09,0DT4,5,2009,,,
Beni Stabili REIT Ord Shs,0DT5.L^E08,0DT5,5,2008,,,
Banco De Valencia Ord Shs,0DVD.L^H08,0DVD,8,2008,ES0113980F34,,
Cattolica Ass Ord Shs,0DWH.L^D10,0DWH,4,2010,GB0002713674,,
Cermaq Ord Shs,0DY2.L^E09,0DY2,5,2009,,,
Cargotec Ord Shs Class B,0DYP.L^E09,0DYP,5,2009,,,
Conergy K Ord Shs,0DYU.L^A08,0DYU,1,2008,US03842K2006,03842K200,
Cir Spa Compagnie Industriali Riunite Ord Shs,0DZH.L^E09,0DZH,5,2009,,,
Ciments Francais Ord Shs,0DZZ.L^D10,0DZZ,4,2010,GB0000539410,,
Cramo Ord Shs,0E1S.L^I19,0E1S,9,2019,FI4000384243,,
Ercros Ord Shs,0E8F.L^E08,0E8F,5,2008,,,
Edp Energias De Portugal Ord Shs,0E8P.L^G09,0E8P,7,2009,PTEDP0AM0009,,
Euler Hermes Group Ord Shs,0EA9.L^J07,0EA9,10,2007,FR0004254035,,
ERG Ord Shs,0ECM.L^E09,0ECM,5,2009,,,
Havas Ord Shs,0EE2.L^B09,0EE2,2,2009,NL0000303709,,
Havas Ord Shs,0EE2.L^E09,0EE2,5,2009,,,
Deutsche Cannabis Ord Shs,0EF9.L^D21,0EF9,4,2021,GB0000109354,,
