Instrument,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE
KIBO.L,,,,,,2009-09-30,,,,,,2009-09-30,,2009-09-30,,2009-09-30,,,,,,,,,,
KIBO.L,,,,,,2011-08-23,,,,,,2011-08-23,1398840.0,2011-08-23,-475090.0,2011-08-23,,,,,,,,,,
KIBO.L,,,,,,2012-04-02,,,,,,2012-04-02,1753820.0,2012-04-02,-2449010.0,2012-04-02,,,,,,,,,,
KIBO.L,,,,,,2013-07-01,,,,,3307760.0,2013-07-01,,2013-07-01,-4483080.0,2013-07-01,,,,,,,,,,
KIBO.L,,,,,,2014-06-27,,,,,0.0,2014-06-27,3325340.0,2014-06-27,-15583340.0,2014-06-27,,,,,,,,,,
KIBO.L,,,,,,2015-05-29,,,,,,2015-05-29,2097920.0,2015-05-29,2125000.0,2015-05-29,,,,,,,,,,
KIBO.L,,,,,,2016-06-14,,,,,,2016-06-14,2453290.0,2016-06-14,177160.0,2016-06-14,,,,,,,,,,
KIBO.L,,,,,,2017-05-25,,,,,,2017-05-25,0.0,2017-05-25,-3611500.0,2017-05-25,,,,,,,,,,
KIBO.L,,,,,,2018-06-14,,,,,0.0,2018-06-14,1818350.0,2018-06-14,-3712710.0,2018-06-14,,,,,,,,,,
KIBO.L,,,,,,2019-06-28,,,,,300000.0,2019-06-28,3100000.0,2019-06-28,-3388780.0,2019-06-28,,,,,,,,,,
KIBO.L,,,,,,2020-09-23,,,,,300000.0,2020-09-23,981710.0,2020-09-23,-3500000.0,2020-09-23,,,,,,,,,,
KIBO.L,,,,,,2021-06-11,,,,,300000.0,2021-06-11,2277000.0,2021-06-11,-4726290.0,2021-06-11,,,,,,,,,,
KIBO.L,,,,,289050.0,2022-06-27,,,,,0.0,2022-06-27,1527580.0,2022-06-27,-21996970.0,2022-06-27,,,,,,,,,,
KIBO.L,,,,,346670.0,2023-06-29,,,,,,2023-06-29,0.0,2023-06-29,-9776920.0,2023-06-29,,,,,,,,,,
AVGRq.L,,,,,5812902.42,2008-12-31,154309928.45,2008-12-31,4443431.29,2008-12-31,,,438258.11,2008-12-31,51105955.08,2008-12-31,,,,,-966765.94,2008-12-31,,,,
