Date,CLOSE
1997-01-07,4.375
1997-01-14,4.625
1997-01-17,4.875
1997-01-21,4.75
1997-01-28,4.5
1997-01-31,4.6
1997-02-04,4.75
1997-02-11,5.0
1997-02-14,4.875
1997-02-18,4.5
1997-02-21,4.375
1997-02-26,4.125
1997-03-07,3.5
1997-03-12,4.0
1997-03-14,3.75
1997-03-18,3.875
1997-03-21,3.5
1997-04-03,3.625
1997-04-08,3.75
1997-04-11,4.0
1997-04-22,4.0625
1997-04-29,3.875
1997-05-12,3.75
1997-05-16,3.875
1997-05-21,4.0
1997-06-02,4.375
1997-06-24,4.625
1997-07-22,4.375
1997-08-18,4.375
1997-10-14,3.5
1997-10-17,3.625
1997-11-03,2.0
1997-11-11,1.75
1997-11-25,1.375
1997-12-03,1.125
1997-12-10,0.75
1998-01-08,1.125
1998-02-04,1.625
1998-02-17,1.375
1998-02-26,1.5
1998-03-10,1.6
