Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
1989-06-28,,,,,,1200000
1989-06-29,,,,,,421000
1989-12-12,,,,283.0,,
1989-12-13,,,,289.5,,
1989-12-14,,,,296.0,,
1989-12-15,,,,303.0,,
1989-12-18,,,,301.0,,
1989-12-19,,,,288.0,,
1989-12-20,,,,295.0,,
1989-12-21,,,,294.5,,
1989-12-22,,,,295.0,,
1989-12-27,,,,300.5,,
1989-12-28,,,,302.5,,
1989-12-29,,,,306.0,,
1990-01-02,,,,307.0,,
1990-01-03,,,,307.5,,
1990-01-05,,,,302.0,,
1990-01-08,,,,301.0,,
1990-01-09,,,,303.0,,
1990-01-10,,,,302.0,,
1990-01-11,,,,306.0,,
1990-01-12,,,,301.0,,
1990-01-15,,,,303.0,,
1990-01-16,,,,303.5,,
1990-01-17,,,,308.0,,
1990-01-18,,,,305.0,,
1990-01-19,,,,308.0,,
1990-01-22,,,,307.0,,
1990-01-23,,,,313.5,,
1990-01-24,,,,314.0,,
1990-01-25,,,,311.0,,
1990-01-26,,,,312.0,,
1990-01-29,,,,315.0,,
1990-01-30,,,,314.5,,
1990-01-31,,,,316.0,,
1990-02-01,,,,315.5,,
1990-02-02,,,,316.0,,
1990-02-05,,,,315.0,,
1990-02-06,,,,313.0,,
1990-02-07,,,,311.5,,
1990-02-08,,,,312.0,,
1990-02-09,,,,309.5,,
1990-02-12,,,,308.0,,
1990-02-13,,,,309.5,,
1990-02-14,,,,313.0,,
1990-02-15,,,,318.0,,
1990-02-16,,,,317.0,,
1990-02-19,,,,315.0,,
1990-02-20,,,,313.0,,
1990-02-21,,,,311.5,,
1990-02-22,,,,316.0,,
1990-02-23,,,,317.0,,
1990-02-26,,,,320.0,,
1990-02-27,,,,319.0,,
1990-02-28,,,,318.0,,
1990-03-01,,,,316.0,,
1990-03-02,,,,317.0,,
1990-03-05,,,,311.0,,
1990-03-06,,,,304.0,,
1990-03-09,,,,301.0,,
1990-03-12,,,,299.5,,
1990-03-13,,,,304.0,,
1990-03-14,,,,306.0,,
1990-03-15,,,,307.0,,
1990-03-16,,,,309.0,,
1990-03-19,,,,306.0,,
1990-03-20,,,,308.0,,
1990-03-21,,,,310.0,,585000
1990-03-22,,,,311.0,,560000
1990-03-23,,,,313.0,,1000000
1990-03-26,,,,308.0,,584000
1990-03-27,,,,304.0,,313000
1990-03-28,,,,304.0,,1000000
1990-03-29,,,,301.5,,294000
1990-03-30,,,,303.0,,574000
1990-04-02,,,,300.5,,1600000
1990-04-03,,,,300.0,,420000
1990-04-04,,,,298.0,,277000
1990-04-05,,,,295.0,,402000
1990-04-06,,,,288.0,,1300000
1990-04-09,,,,288.0,,715000
1990-04-10,,,,286.0,,182000
1990-04-11,,,,283.0,,182000
1990-04-12,,,,282.0,,651000
1990-04-17,,,,281.0,,910000
1990-04-18,,,,283.0,,2000000
1990-04-19,,,,286.0,,1300000
1990-04-20,,,,290.5,,1100000
1990-04-23,,,,292.0,,1300000
1990-04-24,,,,295.0,,1000000
1990-04-25,,,,295.0,,267000
1990-04-26,,,,293.5,,933000
1990-04-27,,,,291.5,,1100000
1990-04-30,,,,292.0,,703000
1990-05-01,,,,290.0,,605000
1990-05-02,,,,294.0,,927000
1990-05-03,,,,291.0,,662000
1990-05-04,,,,291.0,,1400000
1990-05-08,,,,293.0,,147000
1990-05-09,,,,289.0,,262000
1990-05-10,,,,288.0,,77000
1990-05-11,,,,290.0,,496000
1990-05-14,,,,290.0,,374000
1990-05-15,,,,291.5,,492000
1990-05-16,,,,292.0,,265000
1990-05-17,,,,295.5,,1300000
1990-05-18,,,,296.0,,794000
1990-05-21,,,,297.0,,944000
1990-05-22,,,,300.0,,1400000
1990-05-23,,,,301.0,,781000
1990-05-24,,,,299.5,,733000
1990-05-25,,,,298.0,,434000
1990-05-29,,,,300.0,,133000
1990-05-30,,,,305.0,,1200000
1990-05-31,,,,304.0,,311000
1990-06-01,,,,305.0,,1100000
1990-06-04,,,,302.0,,616000
1990-06-05,,,,299.0,,333000
1990-06-06,,,,296.0,,372000
1990-06-07,,,,296.5,,376000
