Date,CLOSE,SHROUT
1994-06-16,1620,
1994-06-17,1623,
1994-06-20,1577,
1994-06-21,1549,
1994-06-22,1538,
1994-06-23,1535,
1994-06-24,1502,
1994-06-27,1460,
1994-06-28,1474,
1994-06-29,1450,
1994-06-30,1435,
1994-07-01,1448,
1994-07-04,1452,
1994-07-05,1399,
1994-07-06,1401,
1994-07-07,1428,
1994-07-08,1431,
1994-07-11,1422,
1994-07-12,1415,
1994-07-13,1432,
1994-07-14,1475,
1994-07-15,1475,
1994-07-18,1534,
1994-07-19,1505,
1994-07-20,1541,
1994-07-21,1531,
1994-07-22,1524,
1994-07-25,1532,
1994-07-26,1564,
1994-07-27,1567,
1994-07-28,1572,
1994-07-29,1536,
1994-08-01,1540,
1994-08-02,1576,
1994-08-03,1648,
1994-08-04,1649,
1994-08-05,1655,
1994-08-08,1644,
1994-08-09,1656,
1994-08-10,1669,
1994-08-11,1641,
1994-08-12,1645,
1994-08-15,1601,
1994-08-16,1540,
1994-08-17,1589,
1994-08-18,1589,
1994-08-19,1533,
1994-08-22,1529,
1994-08-23,1524,
1994-08-24,1523,
1994-08-25,1520,
1994-08-26,1499,
1994-08-31,1466,
1994-09-01,1490,
1994-09-02,1488,
1994-09-05,1496,
1994-09-06,1535,
1994-09-07,1535,
1994-09-08,1546,
1994-09-09,1570,
1994-09-12,1495,
1994-09-13,1495,
1994-09-14,1538,
1994-09-15,1538,
1994-09-16,1523,
1994-09-19,1507,
1994-09-20,1515,
1994-09-21,1509,
1994-09-22,1499,
1994-09-23,1499,
1994-09-26,1447,
1994-09-27,1450,
1994-09-28,1474,
1994-09-29,1462,
1994-09-30,1478,
1994-10-03,1478,
1994-10-04,1500,
1994-10-05,1480,
1994-10-06,1480,
1994-10-07,1490,
1994-10-10,1492,
1994-10-11,1488,
1994-10-12,1533,
1994-10-13,1543,
1994-10-14,1525,
1994-10-17,1515,
1994-10-18,1523,
1994-10-19,1518,
1994-10-20,1547,
1994-10-21,1539,
1994-10-24,1517,
1994-10-25,1515,
1994-10-26,1503,
1994-10-27,1500,
1994-10-28,1504,
1994-10-31,1460,
1994-11-01,1422,
1994-11-02,1413,
1994-11-03,1492,
1994-11-04,1492,
1994-11-07,1479,
1994-11-08,1475,
1994-11-09,1502,
1994-11-10,1493,
1994-11-11,1497,
1994-11-14,1498,
1994-11-15,1513,
1994-11-16,1513,
1994-11-17,1496,
1994-11-18,1495,
1994-11-21,1480,
1994-11-22,1458,
1994-11-23,1389,
1994-11-24,1443,
1994-11-25,1420,
1994-11-28,1404,
1994-11-29,1378,
1994-11-30,1370,
1994-12-01,1363,
1994-12-02,1338,
1994-12-05,1376,
1994-12-06,1367,
1994-12-07,1398,
1994-12-08,1412,
1994-12-09,1382,
1994-12-12,1359,
1994-12-13,1380,
1994-12-14,1389,
1994-12-15,1425,
1994-12-16,1432,
1994-12-19,1468,
1994-12-20,1470,
1994-12-21,1477,
1994-12-22,1472,
1994-12-23,1472,
1994-12-29,1475,
1994-12-30,1466,
1995-01-03,1450,
1995-01-04,1457,
1995-01-05,1458,
1995-01-06,1458,
1995-01-09,1458,
1995-01-10,1447,
1995-01-11,1432,
1995-01-12,1469,
1995-01-13,1447,
1995-01-16,1420,
1995-01-17,1403,
1995-01-18,1423,
1995-01-19,1410,
1995-01-20,1380,
1995-01-23,1335,
1995-01-24,1310,
1995-01-25,1320,
1995-01-26,1315,
1995-01-27,1335,
1995-01-30,1310,
1995-01-31,1255,
1995-02-01,1275,
1995-02-02,1290,
1995-02-03,1335,
1995-02-06,1353,
1995-02-07,1330,
1995-02-08,1340,
1995-02-09,1345,
1995-02-10,1335,
1995-02-13,1345,
1995-02-14,1365,
1995-02-15,1350,
1995-02-16,1340,
1995-02-17,1320,
1995-02-20,1330,
1995-02-21,1333,
1995-02-22,1310,
1995-02-23,1308,
1995-02-24,1312,
1995-02-27,1306,
1995-02-28,1298,
1995-03-01,1332,
1995-03-02,1333,
1995-03-03,1309,
1995-03-06,1277,
1995-03-07,1290,
1995-03-08,1292,
1995-03-09,1320,
1995-03-10,1340,
1995-03-13,1420,
1995-03-14,1460,
1995-03-15,1500,
1995-03-16,1490,
1995-03-17,1515,
1995-03-20,1470,
1995-03-21,1475,
1995-03-22,1455,
1995-03-23,1465,
1995-03-24,1470,
1995-03-27,1500,
1995-03-28,1505,
1995-03-29,1510,
1995-03-30,1505,
1995-03-31,1505,
1995-04-03,1520,
1995-04-04,1600,
1995-04-05,1660,
1995-04-06,1640,
1995-04-07,1625,
1995-04-10,1614,
1995-04-11,1566,
1995-04-12,1567,
1995-04-13,1567,
1995-04-18,1630,
1995-04-19,1640,
1995-04-20,1655,
1995-04-21,1705,
1995-04-24,1695,
1995-04-25,1740,
1995-04-26,1710,
1995-04-27,1690,
1995-04-28,1695,
1995-05-01,1695,
1995-05-02,1715,
1995-05-04,1755,
1995-05-05,1755,
1995-05-09,1708,
1995-05-10,1695,
1995-05-11,1745,
1995-05-12,1730,
1995-05-15,1722,
1995-05-16,1722,
1995-05-17,1715,
1995-05-18,1695,
1995-05-19,1665,
1995-05-22,1652,
1995-05-24,1653,
1995-05-25,1637,
1995-05-26,1617,
1995-05-30,1589,
1995-05-31,1577,
1995-06-01,1575,
1995-06-02,1589,
1995-06-05,1609,
1995-06-06,1635,
1995-06-07,1616,
1995-06-08,1603,
1995-06-12,1548,
1995-06-13,1530,
1995-06-14,1515,
1995-06-15,1560,
1995-06-16,1567,
1995-06-19,1574,
1995-06-20,1600,
1995-06-21,1613,
1995-06-22,1635,
1995-06-23,1660,
1995-06-26,1670,
1995-06-27,1680,
1995-06-28,1665,
1995-06-29,1645,
1995-06-30,1625,
1995-07-03,1585,
1995-07-04,1595,
1995-07-05,1575,
1995-07-06,1570,
1995-07-07,1594,
1995-07-10,1565,
1995-07-11,1525,
1995-07-12,1535,
1995-07-13,1555,
1995-07-14,1535,
1995-07-17,1537,
1995-07-18,1545,
1995-07-19,1535,
1995-07-20,1525,
1995-07-21,1500,
1995-07-25,1515,
1995-07-26,1500,
1995-07-27,1515,
1995-07-28,1520,
1995-07-31,1512,
1995-08-01,1525,
1995-08-02,1565,
1995-08-03,1567,
1995-08-04,1572,
1995-08-08,1590,
1995-08-09,1590,
1995-08-10,1585,
1995-08-11,1572,
1995-08-14,1570,
1995-08-15,1585,
1995-08-16,1592,
1995-08-17,1605,
1995-08-18,1595,
1995-08-21,1605,
1995-08-22,1607,
1995-08-23,1613,
1995-08-24,1615,
1995-08-25,1620,
1995-08-29,1615,
1995-08-30,1630,
1995-08-31,1625,
1995-09-01,1633,
1995-09-04,1620,
1995-09-05,1620,
1995-09-07,1645,
1995-09-08,1648,
1995-09-11,1630,
1995-09-12,1642,
1995-09-13,1638,
1995-09-14,1652,
1995-09-15,1664,
1995-09-18,1666,
1995-09-19,1703,
1995-09-20,1694,
1995-09-21,1720,
1995-09-22,1735,
1995-09-25,1767,
1995-09-26,1755,
1995-09-27,1722,
1995-09-28,1678,
1995-09-29,1687,
1995-10-02,1682,
1995-10-03,1695,
1995-10-04,1730,
1995-10-05,1742,
1995-10-06,1746,
1995-10-09,1750,
1995-10-10,1760,
1995-10-11,1755,
1995-10-12,1764,
1995-10-13,1764,
1995-10-16,1750,
