Date,CLOSE
1994-06-17,63.5
1994-06-20,63.5
1994-06-21,63.375
1994-06-22,63.375
1994-06-23,62.375
1994-06-24,62.625
1994-06-27,61.5
1994-06-28,61.625
1994-06-29,61.25
1994-06-30,62.5
1994-07-01,62.625
1994-07-04,62.25
1994-07-05,62.25
1994-07-06,62.125
1994-07-07,61.375
1994-07-08,61.75
1994-07-11,62.375
1994-07-12,62.75
1994-07-13,61.5
1994-07-14,61.5
1994-07-15,62.375
1994-07-18,62.25
1994-07-19,61.875
1994-07-20,61.625
1994-07-21,59.625
1994-07-22,59.875
1994-07-25,59.625
1994-07-26,61.25
1994-07-27,61.125
1994-07-28,61.0
1994-07-29,61.0
1994-08-01,61.5
1994-08-02,61.0
1994-08-03,63.0
1994-08-04,62.75
1994-08-05,62.75
1994-08-08,62.125
1994-08-09,62.125
1994-08-10,63.125
1994-08-11,64.75
1994-08-12,64.75
1994-08-15,64.5
1994-08-16,65.0
1994-08-17,66.375
1994-08-18,66.875
1994-08-19,68.375
1994-08-22,68.375
1994-08-23,68.125
1994-08-24,68.625
1994-08-25,68.0
1994-08-26,68.0
1994-08-31,68.0
1994-09-01,67.75
1994-09-02,67.0
1994-09-05,66.5
1994-09-06,66.5
1994-09-07,66.625
1994-09-08,67.125
1994-09-09,66.875
1994-09-12,66.5
1994-09-13,66.25
1994-09-14,66.25
1994-09-15,66.125
1994-09-16,65.75
1994-09-19,64.375
1994-09-20,65.375
1994-09-21,64.125
1994-09-22,64.5
1994-09-23,65.125
1994-09-26,66.375
1994-09-27,67.5
1994-09-28,68.875
1994-09-29,69.75
1994-09-30,68.25
1994-10-03,68.625
1994-10-04,69.25
1994-10-05,69.625
1994-10-06,68.625
1994-10-07,67.5
1994-10-10,68.5
1994-10-11,70.625
1994-10-12,72.25
1994-10-13,71.375
1994-10-14,71.5
1994-10-17,71.25
1994-10-18,71.375
1994-10-19,71.5
1994-10-20,71.625
1994-10-21,71.5
1994-10-24,73.0
1994-10-26,72.375
1994-10-27,72.75
1994-10-28,72.0
1994-10-31,72.875
1994-11-01,73.625
1994-11-02,73.0
1994-11-03,73.5
1994-11-04,73.375
1994-11-07,72.375
1994-11-08,73.75
1994-11-09,73.875
1994-11-10,75.625
1994-11-11,76.0
1994-11-14,76.625
1994-11-15,76.5
1994-11-16,75.5
1994-11-17,76.25
1994-11-18,75.375
1994-11-21,75.875
1994-11-22,75.5
1994-11-23,74.375
1994-11-24,72.0
1994-11-25,72.0
1994-11-28,73.0
1994-11-29,74.625
1994-11-30,75.25
1994-12-01,76.875
1994-12-02,75.5
1994-12-05,74.5
1994-12-06,73.625
1994-12-07,74.75
1994-12-08,74.0
1994-12-09,73.75
1994-12-12,74.75
