Date,CLOSE,SHROUT
1996-08-27,99.5,
1996-10-18,89.5,
1996-10-22,93.5,
1996-10-23,97.5,
1996-10-24,89.5,
1996-10-25,92.5,
1996-10-29,91.5,
1996-10-30,89.5,
1996-10-31,95.5,
1996-11-01,92.5,
1996-11-04,90.5,
1996-11-05,91.0,
1996-11-07,90.0,
1996-11-08,90.5,
1996-11-12,90.0,
1996-11-13,89.0,
1996-11-15,88.5,
1996-11-18,89.0,
1996-11-19,88.5,
1996-11-20,87.5,
1996-11-21,90.5,
1996-11-22,91.5,
1996-11-26,92.5,
1996-11-27,94.5,
1996-11-28,92.5,
1996-11-29,90.5,
1996-12-03,87.5,
1996-12-04,88.5,
1996-12-06,87.5,
1996-12-09,84.5,
1996-12-10,86.5,
1996-12-11,82.5,
1996-12-17,83.5,
1996-12-18,80.5,
1996-12-27,79.5,
1996-12-30,77.5,
1997-01-02,79.5,
1997-01-03,77.5,
1997-01-07,79.5,
1997-01-09,78.5,
1997-01-10,77.5,
1997-01-13,82.5,
1997-01-15,83.5,
1997-01-17,84.5,
1997-01-21,83.5,
1997-01-23,82.5,
1997-01-30,81.5,
1997-01-31,83.5,
1997-02-10,82.5,
1997-02-11,80.5,
1997-02-12,84.5,
1997-02-14,85.5,
1997-02-21,86.5,
1997-02-27,84.5,
1997-03-03,85.5,
1997-03-26,75.5,
1997-03-27,76.5,
1997-04-02,75.5,
1997-04-03,69.5,
1997-04-04,67.5,
1997-04-08,73.5,
1997-04-09,71.5,
1997-04-10,72.5,
1997-04-14,69.5,
1997-04-17,70.5,
1997-04-21,77.5,
1997-04-23,74.5,
1997-04-24,71.5,
1997-04-29,69.5,
1997-04-30,77.5,
1997-05-06,79.5,
1997-05-12,72.5,
1997-05-20,74.5,
1997-05-22,72.5,
1997-05-28,71.5,
1997-05-30,72.5,
1997-06-02,73.5,
1997-06-04,71.5,
1997-06-05,72.5,
1997-06-09,70.5,
1997-06-10,69.5,
1997-06-11,68.5,
1997-06-13,67.5,
1997-06-17,66.5,
1997-06-18,67.5,
1997-06-23,62.5,
1997-06-24,65.5,
1997-06-25,64.5,
1997-06-26,65.5,
1997-06-30,69.5,
1997-07-04,65.5,
1997-07-07,63.5,
1997-07-09,64.5,
1997-07-10,62.5,
1997-07-15,59.5,
1997-07-16,60.5,
1997-07-18,62.5,
1997-07-21,65.5,
1997-07-22,64.5,
1997-07-24,69.5,
1997-07-28,67.5,
1997-07-30,66.5,
1997-07-31,67.5,
1997-08-04,59.5,
1997-08-06,60.5,
1997-08-07,59.5,
1997-08-11,54.5,
1997-08-14,57.5,
1997-08-18,54.5,
1997-08-20,62.5,
1997-08-21,60.5,
1997-08-26,52.5,
1997-08-27,53.5,
1997-09-08,59.5,
1997-09-22,57.5,
1997-09-25,62.5,
1997-09-29,66.5,
1997-09-30,67.5,
1997-10-01,57.5,
1997-10-06,58.5,
1997-10-07,60.5,
1997-10-08,62.5,
1997-10-10,65.5,
1997-10-13,59.5,
1997-10-14,58.5,
1997-10-15,57.5,
1997-10-16,55.5,
1997-10-17,57.5,
1997-10-21,52.5,
1997-10-27,47.5,
1997-11-03,44.5,
1997-11-04,45.5,
1997-11-05,47.5,
1997-11-12,46.5,
1997-11-14,45.5,
1997-11-18,39.5,
1997-11-19,36.5,
1997-11-20,34.5,
1997-11-21,37.5,
1997-11-27,38.5,
1997-11-28,39.5,
1997-12-10,40.5,
1997-12-11,38.5,
1997-12-15,35.5,
1997-12-16,39.5,
1997-12-23,37.5,
1998-01-08,35.5,
1998-01-09,37.5,
1998-01-12,36.5,
1998-01-13,37.5,
1998-01-14,42.5,
1998-01-15,40.5,
1998-01-19,44.5,
1998-01-22,45.5,
1998-01-23,44.5,
1998-01-26,45.5,
1998-01-27,46.5,
1998-02-03,61.5,
1998-02-04,53.5,
1998-02-10,50.5,
1998-02-11,49.5,
1998-02-12,47.5,
1998-02-18,49.5,
1998-02-19,50.5,
1998-02-20,49.5,
1998-02-23,50.5,
1998-02-24,49.5,
1998-02-27,52.5,
1998-03-02,57.5,
1998-03-03,51.5,
1998-03-04,49.5,
1998-03-05,47.5,
1998-03-06,50.5,
1998-03-09,44.5,
1998-03-12,47.5,
1998-03-18,49.5,
1998-03-23,50.5,
1998-03-27,48.5,
1998-03-31,49.5,
1998-04-03,47.5,
1998-04-15,51.5,
1998-04-16,50.5,
1998-04-21,49.5,
1998-04-23,57.5,
1998-04-27,51.5,
1998-04-30,53.5,
1998-05-06,45.5,
1998-05-07,44.5,
1998-05-08,45.5,
1998-05-11,47.5,
1998-05-13,44.5,
1998-05-15,47.5,
1998-05-20,49.5,
1998-05-22,52.5,
1998-05-26,49.5,
1998-05-29,45.5,
1998-06-02,41.5,
1998-06-08,42.5,
1998-06-09,40.5,
1998-06-10,39.5,
1998-06-11,37.5,
