Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2005-08-11,5.25,5.0,5.25,5.0,,15373518.0,
2005-08-12,5.25,5.25,5.25,5.25,,808015.0,
2005-08-15,5.25,5.25,5.25,5.25,,1105345.0,
2005-08-16,5.25,5.25,5.25,5.25,,188541.0,
2005-08-17,5.25,5.25,5.25,5.25,,268297.0,
2005-08-18,5.25,5.25,5.25,5.25,,,
2005-08-19,5.25,5.25,5.25,5.25,,188000.0,
2005-08-22,5.5,5.25,5.5,5.25,,393000.0,
2005-08-23,5.5,5.5,5.5,5.5,,333379.0,
2005-08-24,5.5,5.5,5.5,5.5,,,
2005-08-25,5.5,5.5,5.5,5.5,,71904.0,
2005-08-26,5.5,5.5,5.5,5.5,,59963.0,
2005-08-30,5.5,5.5,5.5,5.5,,29490.0,
2005-08-31,5.5,5.5,5.5,5.5,,24494.0,
2005-09-01,5.5,5.5,5.5,5.5,,16011.0,
2005-09-02,5.5,5.5,5.5,5.5,,103490.0,
2005-09-05,5.5,5.5,5.5,5.5,,5514.0,
2005-09-06,5.5,5.5,5.5,5.5,,26961.0,
2005-09-07,5.5,5.5,5.5,5.5,,5000.0,
2005-09-08,5.5,5.5,5.5,5.5,,8056.0,
2005-09-09,5.5,5.5,5.5,5.5,,10000.0,
2005-09-12,5.5,5.5,5.5,5.5,,29000.0,
2005-09-13,5.5,5.5,5.5,5.5,,35513.0,
2005-09-14,5.5,5.5,5.5,5.5,,70000.0,
2005-09-15,5.5,5.5,5.5,5.5,,,
2005-09-16,5.5,5.5,5.5,5.5,,6250.0,
2005-09-19,5.5,5.375,5.5,5.375,,27000.0,
2005-09-20,5.5,5.5,5.5,5.5,,40000.0,
2005-09-21,5.5,5.5,5.5,5.5,,187497.0,
2005-09-22,5.5,5.5,5.5,5.5,,2377.0,
2005-09-23,5.5,5.5,5.5,5.5,,9251957.0,
2005-09-26,5.5,5.5,5.5,5.5,,53469.0,
2005-09-27,5.5,5.5,5.5,5.5,,,
2005-09-28,5.5,5.5,5.5,5.5,,,
2005-09-29,5.5,5.5,5.5,5.5,,20000.0,
2005-09-30,5.5,5.5,5.5,5.5,,12400.0,
2005-10-03,5.5,5.5,5.5,5.5,,,
2005-10-04,5.5,5.5,5.5,5.5,,,
2005-10-05,5.5,5.5,5.5,5.5,,20000.0,
2005-10-06,5.5,5.5,5.5,5.5,,10500.0,
2005-10-07,5.5,5.5,5.5,5.5,,,
2005-10-10,5.5,5.375,5.375,5.5,,123914.0,
2005-10-11,5.375,5.375,5.375,5.375,,,
2005-10-12,5.375,5.25,5.25,5.375,,6500.0,
2005-10-13,5.25,5.25,5.25,5.25,,509091.0,
2005-10-14,5.25,5.25,5.25,5.25,,395210.0,
2005-10-17,5.25,5.25,5.25,5.25,,,
2005-10-18,5.25,5.125,5.125,5.25,,,
2005-10-19,5.125,5.125,5.125,5.125,,,
2005-10-20,5.125,5.125,5.125,5.125,,1778.0,
2005-10-21,5.125,5.125,5.125,5.125,,,
2005-10-24,5.125,5.125,5.125,5.125,,,
2005-10-25,5.125,5.125,5.125,5.125,,,
2005-10-26,5.5,5.125,5.125,5.125,,,
2005-10-27,5.125,5.125,5.125,5.125,,36137.0,
2005-10-28,4.75,4.5,4.5,4.75,,124621.0,
2005-10-31,4.5,4.5,4.5,4.5,,8027.0,
2005-11-01,4.5,4.5,4.5,4.5,,269258.0,
2005-11-02,4.5,4.5,4.5,4.5,,750000.0,
2005-11-03,4.625,4.5,4.5,4.5,,,
2005-11-04,4.5,4.5,4.5,4.5,,20000.0,
2005-11-07,4.5,4.5,4.5,4.5,,,
2005-11-08,4.5,4.5,4.5,4.5,,2000000.0,
2005-11-09,4.5,4.375,4.5,4.5,,10526.0,
2005-11-10,4.5,4.5,4.5,4.5,,1249.0,
2005-11-11,4.5,4.5,4.5,4.5,,,
2005-11-14,4.5,4.5,4.5,4.5,,2516.0,
2005-11-15,4.5,4.5,4.5,4.5,,1341.0,
2005-11-16,4.5,4.5,4.5,4.5,,,
2005-11-17,4.5,4.5,4.5,4.5,,,
2005-11-18,4.5,4.5,4.5,4.5,,,
2005-11-21,4.5,4.5,4.5,4.5,,,
2005-11-22,4.5,4.5,4.5,4.5,,,
2005-11-23,4.5,4.5,4.5,4.5,,2516.0,
2005-11-24,4.5,4.5,4.5,4.5,,18494.0,
2005-11-25,4.5,4.5,4.5,4.5,,40000.0,
2005-11-28,4.5,4.5,4.5,4.5,,,
2005-11-29,4.5,4.5,4.5,4.5,,,
2005-11-30,4.5,4.5,4.5,4.5,,1000.0,
2005-12-01,4.5,4.375,4.5,4.5,,5000.0,
2005-12-02,4.5,4.375,4.375,4.5,,50000.0,
2005-12-05,4.375,4.375,4.375,4.375,,11111.0,
2005-12-06,4.375,4.125,4.125,4.375,,2025000.0,
2005-12-07,4.125,4.125,4.125,4.125,,,
2005-12-08,4.125,4.125,4.125,4.125,,175000.0,
2005-12-09,4.125,4.125,4.125,4.125,,,
2005-12-12,4.125,3.875,3.875,4.125,,154222.0,
2005-12-13,4.0,3.875,4.0,3.875,,65000.0,
2005-12-14,4.0,4.0,4.0,4.0,,,
2005-12-15,4.0,4.0,4.0,4.0,,,
2005-12-16,4.0,4.0,4.0,4.0,,,
2005-12-19,4.0,4.0,4.0,4.0,,20000.0,
2005-12-20,3.875,3.25,3.25,3.875,,90000.0,
2005-12-21,3.375,3.25,3.375,3.25,,102000.0,
2005-12-22,3.375,3.375,3.375,3.375,,,
2005-12-23,3.375,3.375,3.375,3.375,,,
2005-12-28,3.5,3.375,3.375,3.5,,,
2005-12-29,3.5,3.375,3.5,3.375,,23000.0,
2005-12-30,3.5,3.5,3.5,3.5,,,
2006-01-03,3.625,3.5,3.625,3.5,,60000.0,
2006-01-04,3.625,3.625,3.625,3.625,,2300000.0,
2006-01-05,3.625,3.625,3.625,3.625,,,
2006-01-06,3.625,3.625,3.625,3.625,,960.0,
2006-01-09,3.625,3.625,3.625,3.625,,,
2006-01-10,3.625,3.625,3.625,3.625,,125250.0,
2006-01-11,3.625,3.625,3.625,3.625,,52000.0,
2006-01-12,3.625,3.625,3.625,3.625,,,
2006-01-13,3.625,3.625,3.625,3.625,,776634.0,
2006-01-16,4.0,3.625,4.0,3.625,,1008000.0,
2006-01-17,4.0,4.0,4.0,4.0,,6000.0,
2006-01-18,4.0,4.0,4.0,4.0,,,
2006-01-19,4.0,4.0,4.0,4.0,,,
2006-01-20,4.0,4.0,4.0,4.0,,,
2006-01-23,4.0,4.0,4.0,4.0,,,
2006-01-24,4.0,4.0,4.0,4.0,,,
2006-01-25,4.0,4.0,4.0,4.0,,,
2006-01-26,4.0,4.0,4.0,4.0,,,
2006-01-27,4.0,4.0,4.0,4.0,,570000.0,
2006-01-30,4.0,4.0,4.0,4.0,,,
2006-01-31,4.0,4.0,4.0,4.0,,,
2006-02-01,4.0,4.0,4.0,4.0,,2000000.0,
2006-02-02,4.0,4.0,4.0,4.0,,25000.0,
2006-02-03,4.0,4.0,4.0,4.0,,,
2006-02-06,4.125,4.0,4.125,4.0,,95000.0,
