Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-11-02,,3.491,,,,
2007-11-05,,3.4961,,,,
2007-11-07,,3.5082,,,,
2007-11-12,,3.406,,,,
2007-11-14,,3.49,,,,
2007-11-15,,3.638,,,,
2007-11-16,,3.6424,,,,
2007-11-19,,3.66,,,,
2007-11-22,,3.43,,,,
2007-11-26,,3.1984,,,,
2007-11-28,,3.1484,,,1,100000
2007-11-29,,3.16,,,,
2007-11-30,,3.2083,,,1,200000
2007-12-03,,3.21,,,3,22584
2007-12-05,,3.22,,,3,6186
2007-12-07,,3.2485,,,2,147872
2007-12-10,,3.2485,,,,
2007-12-12,,3.16,,,1,7545
2007-12-14,,3.15,,,1,67841
2007-12-17,,3.1347,,,1,305109
2007-12-18,,3.1689,,,1,35
2007-12-19,,3.11,,,1,41720
2007-12-21,,3.04,,,1,223860
2007-12-27,,3.02,,,1,8714
2007-12-31,,2.9966,,,,
2008-01-01,,2.9966,,,,
2008-01-03,,2.83,,,1,8083
2008-01-08,,2.69,,,1,28522
2008-01-15,,2.5706,,,1,200000
2008-01-16,,2.5953,,,1,208000
2008-01-17,,2.563,,,2,549388
2008-01-21,,2.44,,,2,95012
2008-01-22,,2.43,,,1,59002
2008-01-24,,2.4193,,,2,1197
2008-01-28,,2.3,,,1,5651
2008-01-30,,2.41,,,2,12620
2008-01-31,,2.28,,,1,2941
2008-02-01,,2.31,,,2,30992
2008-02-04,,2.4515,,,1,765455
2008-02-11,,2.31,,,1,67588
2008-02-12,,2.3202,,,,
2008-02-13,,2.39,,,1,18975
2008-02-22,,2.35,,,1,3646
2008-02-25,,2.375,,,4,2508
2008-02-26,,2.3821,,,,
2008-02-27,,2.39,,,1,551
2008-02-28,,2.4876,,,8,168231
2008-02-29,,2.46,,,1,41
2008-03-03,,2.31,,,2,13323
2008-03-04,,2.3149,,,2,325165
2008-03-12,,2.34,,,1,9
2008-03-13,,2.3997,,,,
2008-03-19,,2.51,,,1,10059
2008-03-20,,2.52,,,1,87
2008-03-25,,2.61,,,1,305335
2008-03-26,,2.73,,,2,20169
2008-03-27,,2.7197,,,1,69348
2008-03-28,,2.75,,,1,1624
2008-03-31,,2.72,,,1,646
