,Instrument,TR.ACCOUNTSPAYABLE,TR.ACCOUNTSPAYABLE.CALCDATE,TR.ACCOUNTSPAYABLE.FPERIOD,TR.ACCTSRECEIVTRADENET,TR.ACCTSRECEIVTRADENET.CALCDATE,TR.ACCTSRECEIVTRADENET.FPERIOD,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.ADVERTISINGEXPENSE.FPERIOD,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.BACKLOGVALUEACTUAL.FPERIOD,TR.CAPITALEXPENDITURES,TR.CAPITALEXPENDITURES.CALCDATE,TR.CAPITALEXPENDITURES.FPERIOD,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.CAPITALLEASEOBLIGATIONS.FPERIOD,TR.CASHANDSTINVESTMENTS,TR.CASHANDSTINVESTMENTS.CALCDATE,TR.CASHANDSTINVESTMENTS.FPERIOD,TR.CASHFROMOPERATINGACT,TR.CASHFROMOPERATINGACT.CALCDATE,TR.CASHFROMOPERATINGACT.FPERIOD,TR.COSTOFREVENUETOTAL,TR.COSTOFREVENUETOTAL.CALCDATE,TR.COSTOFREVENUETOTAL.FPERIOD,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUECURRENT.FPERIOD,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.DEFERREDREVENUELT.FPERIOD,TR.DEPRDEPLETIONANDAMORT,TR.DEPRDEPLETIONANDAMORT.CALCDATE,TR.DEPRDEPLETIONANDAMORT.FPERIOD,TR.EBITACTVALUE,TR.EBITACTVALUE.CALCDATE,TR.EBITACTVALUE.FPERIOD,TR.EBITDAACTVALUE,TR.EBITDAACTVALUE.CALCDATE,TR.EBITDAACTVALUE.FPERIOD,TR.EMPLOYEES,TR.EMPLOYEES.CALCDATE,TR.EMPLOYEES.FPERIOD,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.GOODWILLNET.FPERIOD,TR.GROSSDIVIDENDSCMNSTOCK,TR.GROSSDIVIDENDSCMNSTOCK.CALCDATE,TR.GROSSDIVIDENDSCMNSTOCK.FPERIOD,TR.INCOMETAXESPAYABLE,TR.INCOMETAXESPAYABLE.CALCDATE,TR.INCOMETAXESPAYABLE.FPERIOD,TR.INTEXPENSENETNONOPER,TR.INTEXPENSENETNONOPER.CALCDATE,TR.INTEXPENSENETNONOPER.FPERIOD,TR.INTANGIBLESNET,TR.INTANGIBLESNET.CALCDATE,TR.INTANGIBLESNET.FPERIOD,TR.INTERESTINCOMENONOPERATING,TR.INTERESTINCOMENONOPERATING.CALCDATE,TR.INTERESTINCOMENONOPERATING.FPERIOD,TR.INVENTORYACTVALUE,TR.INVENTORYACTVALUE.CALCDATE,TR.INVENTORYACTVALUE.FPERIOD,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET.FPERIOD,TR.LEASEEXPENSETOTAL,TR.LEASEEXPENSETOTAL.CALCDATE,TR.LEASEEXPENSETOTAL.FPERIOD,TR.MINORITYINTERESTBSSTMT,TR.MINORITYINTERESTBSSTMT.CALCDATE,TR.MINORITYINTERESTBSSTMT.FPERIOD,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.NETINCOME.FPERIOD,TR.NETINCOMEBEFOREEXTRAITEMS,TR.NETINCOMEBEFOREEXTRAITEMS.CALCDATE,TR.NETINCOMEBEFOREEXTRAITEMS.FPERIOD,TR.NETINCOMEBEFORETAXES,TR.NETINCOMEBEFORETAXES.CALCDATE,TR.NETINCOMEBEFORETAXES.FPERIOD,TR.OTHERCURRENTASSETS,TR.OTHERCURRENTASSETS.CALCDATE,TR.OTHERCURRENTASSETS.FPERIOD,TR.OTHERCURRENTLIABTOTAL,TR.OTHERCURRENTLIABTOTAL.CALCDATE,TR.OTHERCURRENTLIABTOTAL.FPERIOD,TR.OTHERLTASSETSTOTAL,TR.OTHERLTASSETSTOTAL.CALCDATE,TR.OTHERLTASSETSTOTAL.FPERIOD,TR.OTHERLIABILITIESTOTAL,TR.OTHERLIABILITIESTOTAL.CALCDATE,TR.OTHERLIABILITIESTOTAL.FPERIOD,TR.OTHERNONOPERATINGINCOME,TR.OTHERNONOPERATINGINCOME.CALCDATE,TR.OTHERNONOPERATINGINCOME.FPERIOD,TR.PPTYPLANTEQPMTTTLGROSS,TR.PPTYPLANTEQPMTTTLGROSS.CALCDATE,TR.PPTYPLANTEQPMTTTLGROSS.FPERIOD,TR.PROPERTYPLANTEQUIPMENTTOTALNET,TR.PROPERTYPLANTEQUIPMENTTOTALNET.CALCDATE,TR.PROPERTYPLANTEQUIPMENTTOTALNET.FPERIOD,TR.RECEIVABLESOTHER,TR.RECEIVABLESOTHER.CALCDATE,TR.RECEIVABLESOTHER.FPERIOD,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.REDEEMABLEPREFERREDTTL.FPERIOD,TR.RESEARCHANDDEVELOPMENT,TR.RESEARCHANDDEVELOPMENT.CALCDATE,TR.RESEARCHANDDEVELOPMENT.FPERIOD,TR.REVENUE,TR.REVENUE.CALCDATE,TR.REVENUE.FPERIOD,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.FPERIOD,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.FPERIOD,TR.SGAEXPENSETOTAL,TR.SGAEXPENSETOTAL.CALCDATE,TR.SGAEXPENSETOTAL.FPERIOD,TR.SPECIALITEMSMM,TR.SPECIALITEMSMM.CALCDATE,TR.SPECIALITEMSMM.FPERIOD,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXCURDOM.FPERIOD,TR.TAXDEFTOT,TR.TAXDEFTOT.CALCDATE,TR.TAXDEFTOT.FPERIOD,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TAXOTHINCTOT.FPERIOD,TR.TOTALASSETSREPORTED,TR.TOTALASSETSREPORTED.CALCDATE,TR.TOTALASSETSREPORTED.FPERIOD,TR.TOTALCURRLIABILITIES,TR.TOTALCURRLIABILITIES.CALCDATE,TR.TOTALCURRLIABILITIES.FPERIOD,TR.TOTALCURRENTASSETS,TR.TOTALCURRENTASSETS.CALCDATE,TR.TOTALCURRENTASSETS.FPERIOD,TR.TOTALDEBTOUTSTANDING,TR.TOTALDEBTOUTSTANDING.CALCDATE,TR.TOTALDEBTOUTSTANDING.FPERIOD,TR.TOTALEQUITY,TR.TOTALEQUITY.CALCDATE,TR.TOTALEQUITY.FPERIOD,TR.TOTALINVENTORY,TR.TOTALINVENTORY.CALCDATE,TR.TOTALINVENTORY.FPERIOD,TR.TOTALLIABILITIES,TR.TOTALLIABILITIES.CALCDATE,TR.TOTALLIABILITIES.FPERIOD,TR.TOTALLONGTERMDEBT,TR.TOTALLONGTERMDEBT.CALCDATE,TR.TOTALLONGTERMDEBT.FPERIOD,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.TTLPREFERREDSHARESOUT.FPERIOD,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE,TR.WARRANTSCONVERTED.FPERIOD
406,INS.L,257000.0,2011-09-21,FY2010,959000.0,2011-09-21,FY2010,,,,,,,-472000.0,2011-09-21,FY2010,,2011-09-21,FY2011,3263000.0,2011-09-21,FY2010,-90000.0,2011-09-21,FY2010,,2011-09-21,FY2011,5127000.0,2011-09-21,FY2010,,,,109000.0,2011-09-21,FY2010,,2012-12-31,,2009000.0,2012-12-31,FY2011,103,2011-09-21,FY2010,6646000.0,2011-09-21,FY2010,0.0,2011-09-21,FY2010,85000.0,2011-09-21,FY2010,-297000.0,2011-09-21,FY2010,-229000.0,2011-09-21,FY2010,263000.0,2011-09-21,FY2010,,2012-12-31,,9150000.0,2011-09-21,FY2010,,,,,,,901000.0,2011-09-21,FY2010,901000.0,2011-09-21,FY2010,1415000.0,2011-09-21,FY2010,0.0,2011-09-21,FY2010,114000.0,2011-09-21,FY2010,321000.0,2011-09-21,FY2010,1477000.0,2011-09-21,FY2010,-362000.0,2011-09-21,FY2010,2904000.0,2011-09-21,FY2010,166000.0,2011-09-21,FY2010,32000.0,2011-09-21,FY2010,,,,,,,10001000.0,2011-09-21,FY2010,,2011-09-21,FY2011,,,,5930000.0,2011-09-21,FY2010,-388000.0,2011-09-21,FY2010,379000.0,2011-09-21,FY2010,123000.0,2011-09-21,FY2010,1028000.0,2011-09-21,FY2010,11899000.0,2011-09-21,FY2010,5874000.0,2011-09-21,FY2010,4995000.0,2011-09-21,FY2010,253000.0,2011-09-21,FY2010,4548000.0,2011-09-21,FY2010,137000.0,2011-09-21,FY2010,7351000.0,2011-09-21,FY2010,0.0,2011-09-21,FY2010,,,,,,
407,INS.L,404000.0,2012-05-08,FY2011,2598000.0,2012-05-08,FY2011,,,,,,,-443000.0,2012-05-08,FY2011,,2012-05-08,FY2011,3368000.0,2012-05-08,FY2011,502000.0,2012-05-08,FY2011,114000.0,2012-05-08,FY2011,6875000.0,2012-05-08,FY2011,,,,463000.0,2012-05-08,FY2011,,2013-06-30,,1662000.0,2013-06-30,FY2012,116,2012-05-08,FY2011,6356000.0,2012-05-08,FY2011,0.0,2012-05-08,FY2011,0.0,2012-05-08,FY2011,-362000.0,2012-05-08,FY2011,1747000.0,2012-05-08,FY2011,300000.0,2012-05-08,FY2011,,2013-06-30,,0.0,2012-05-08,FY2011,,,,,,,1006000.0,2012-05-08,FY2011,1006000.0,2012-05-08,FY2011,1512000.0,2012-05-08,FY2011,64000.0,2012-05-08,FY2011,152000.0,2012-05-08,FY2011,279000.0,2012-05-08,FY2011,1866000.0,2012-05-08,FY2011,-94000.0,2012-05-08,FY2011,1518000.0,2012-05-08,FY2011,188000.0,2012-05-08,FY2011,15000.0,2012-05-08,FY2011,,,,,,,10793000.0,2012-05-08,FY2011,,2012-05-08,FY2011,,,,6574000.0,2012-05-08,FY2011,-7000.0,2012-05-08,FY2011,167000.0,2012-05-08,FY2011,177000.0,2012-05-08,FY2011,506000.0,2012-05-08,FY2011,15124000.0,2012-05-08,FY2011,7844000.0,2012-05-08,FY2011,6554000.0,2012-05-08,FY2011,250000.0,2012-05-08,FY2011,5414000.0,2012-05-08,FY2011,93000.0,2012-05-08,FY2011,9710000.0,2012-05-08,FY2011,0.0,2012-05-08,FY2011,,,,,,
408,INS.L,404000.0,2012-09-09,FY2011,2598000.0,2012-09-09,FY2011,,,,,,,-443000.0,2012-09-09,FY2011,,2012-09-09,FY2012,3368000.0,2012-09-09,FY2011,502000.0,2012-09-09,FY2011,114000.0,2012-09-09,FY2011,6875000.0,2012-09-09,FY2011,,,,463000.0,2012-09-09,FY2011,,2013-12-31,,1662000.0,2013-12-31,FY2012,116,2012-09-09,FY2011,6356000.0,2012-09-09,FY2011,0.0,2012-09-09,FY2011,0.0,2012-09-09,FY2011,-362000.0,2012-09-09,FY2011,1747000.0,2012-09-09,FY2011,300000.0,2012-09-09,FY2011,,2013-12-31,,0.0,2012-09-09,FY2011,,,,,,,1006000.0,2012-09-09,FY2011,1006000.0,2012-09-09,FY2011,1512000.0,2012-09-09,FY2011,64000.0,2012-09-09,FY2011,152000.0,2012-09-09,FY2011,279000.0,2012-09-09,FY2011,1866000.0,2012-09-09,FY2011,-94000.0,2012-09-09,FY2011,1518000.0,2012-09-09,FY2011,188000.0,2012-09-09,FY2011,15000.0,2012-09-09,FY2011,,,,,,,10793000.0,2012-09-09,FY2011,,2012-09-09,FY2012,,,,6574000.0,2012-09-09,FY2011,-7000.0,2012-09-09,FY2011,167000.0,2012-09-09,FY2011,177000.0,2012-09-09,FY2011,506000.0,2012-09-09,FY2011,15124000.0,2012-09-09,FY2011,7844000.0,2012-09-09,FY2011,6554000.0,2012-09-09,FY2011,250000.0,2012-09-09,FY2011,5414000.0,2012-09-09,FY2011,93000.0,2012-09-09,FY2011,9710000.0,2012-09-09,FY2011,0.0,2012-09-09,FY2011,,,,,,
409,INS.L,334000.0,2013-03-27,FY2012,3203000.0,2013-03-27,FY2012,,,,,,,-486000.0,2013-03-27,FY2012,,2013-03-27,FY2012,2450000.0,2013-03-27,FY2012,-79000.0,2013-03-27,FY2012,436000.0,2013-03-27,FY2012,5783000.0,2013-03-27,FY2012,,,,555000.0,2013-03-27,FY2012,1450000.0,2014-06-30,FY2013,1863000.0,2014-06-30,FY2013,114,2013-03-27,FY2012,6356000.0,2013-03-27,FY2012,0.0,2013-03-27,FY2012,,2013-03-27,FY2012,-60000.0,2013-03-27,FY2012,1678000.0,2013-03-27,FY2012,19000.0,2013-03-27,FY2012,,2014-06-30,,,2013-03-27,FY2011,,,,,,,1044000.0,2013-03-27,FY2012,1044000.0,2013-03-27,FY2012,1252000.0,2013-03-27,FY2012,,2013-03-27,FY2012,5865000.0,2013-03-27,FY2012,732000.0,2013-03-27,FY2012,3196000.0,2013-03-27,FY2012,-84000.0,2013-03-27,FY2012,1664000.0,2013-03-27,FY2012,187000.0,2013-03-27,FY2012,235000.0,2013-03-27,FY2012,,,,,,,10661000.0,2013-03-27,FY2012,,2013-03-27,FY2012,,,,6791000.0,2013-03-27,FY2012,137000.0,2013-03-27,FY2012,179000.0,2013-03-27,FY2012,-63000.0,2013-03-27,FY2012,208000.0,2013-03-27,FY2012,15478000.0,2013-03-27,FY2012,7287000.0,2013-03-27,FY2012,6525000.0,2013-03-27,FY2012,250000.0,2013-03-27,FY2012,4995000.0,2013-03-27,FY2012,90000.0,2013-03-27,FY2012,10483000.0,2013-03-27,FY2012,0.0,2013-03-27,FY2012,,,,,,
410,INS.L,334000.0,2013-09-25,FY2012,3203000.0,2013-09-25,FY2012,,,,,,,-486000.0,2013-09-25,FY2012,,2013-09-25,FY2013,2450000.0,2013-09-25,FY2012,-79000.0,2013-09-25,FY2012,436000.0,2013-09-25,FY2012,5783000.0,2013-09-25,FY2012,,,,555000.0,2013-09-25,FY2012,1450000.0,2014-12-31,FY2013,1863000.0,2014-12-31,FY2013,114,2013-09-25,FY2012,6356000.0,2013-09-25,FY2012,0.0,2013-09-25,FY2012,,2013-09-25,FY2012,-60000.0,2013-09-25,FY2012,1678000.0,2013-09-25,FY2012,19000.0,2013-09-25,FY2012,,2014-12-31,,,2013-09-25,FY2011,,,,,,,1044000.0,2013-09-25,FY2012,1044000.0,2013-09-25,FY2012,1252000.0,2013-09-25,FY2012,,2013-09-25,FY2012,5865000.0,2013-09-25,FY2012,732000.0,2013-09-25,FY2012,3196000.0,2013-09-25,FY2012,-84000.0,2013-09-25,FY2012,1664000.0,2013-09-25,FY2012,187000.0,2013-09-25,FY2012,235000.0,2013-09-25,FY2012,,,,,,,10661000.0,2013-09-25,FY2012,,2013-09-25,FY2013,,,,6791000.0,2013-09-25,FY2012,137000.0,2013-09-25,FY2012,179000.0,2013-09-25,FY2012,-63000.0,2013-09-25,FY2012,208000.0,2013-09-25,FY2012,15478000.0,2013-09-25,FY2012,7287000.0,2013-09-25,FY2012,6525000.0,2013-09-25,FY2012,250000.0,2013-09-25,FY2012,4995000.0,2013-09-25,FY2012,90000.0,2013-09-25,FY2012,10483000.0,2013-09-25,FY2012,0.0,2013-09-25,FY2012,,,,,,
411,INS.L,525000.0,2014-04-23,FY2013,2415000.0,2014-04-23,FY2013,,,,,,,-578000.0,2014-04-23,FY2013,,2014-04-23,FY2013,2053000.0,2014-04-23,FY2013,1953000.0,2014-04-23,FY2013,110000.0,2014-04-23,FY2013,5776000.0,2014-04-23,FY2013,,,,716000.0,2014-04-23,FY2013,,2015-06-30,,1749000.0,2015-06-30,FY2014,123,2014-04-23,FY2013,9387000.0,2014-04-23,FY2013,0.0,2014-04-23,FY2013,7000.0,2014-04-23,FY2013,-9000.0,2014-04-23,FY2013,3500000.0,2014-04-23,FY2013,61000.0,2014-04-23,FY2013,,2015-06-30,,,2014-04-23,FY2011,,,,,,,529000.0,2014-04-23,FY2013,529000.0,2014-04-23,FY2013,698000.0,2014-04-23,FY2013,,2014-04-23,FY2013,5783000.0,2014-04-23,FY2013,388000.0,2014-04-23,FY2013,5342000.0,2014-04-23,FY2013,-198000.0,2014-04-23,FY2013,1835000.0,2014-04-23,FY2013,265000.0,2014-04-23,FY2013,0.0,2014-04-23,FY2013,,,,,,,11361000.0,2014-04-23,FY2013,,2014-04-23,FY2013,,,,7044000.0,2014-04-23,FY2013,-200000.0,2014-04-23,FY2013,42000.0,2014-04-23,FY2013,86000.0,2014-04-23,FY2013,169000.0,2014-04-23,FY2013,18808000.0,2014-04-23,FY2013,8493000.0,2014-04-23,FY2013,5268000.0,2014-04-23,FY2013,1250000.0,2014-04-23,FY2013,4973000.0,2014-04-23,FY2013,307000.0,2014-04-23,FY2013,13835000.0,2014-04-23,FY2013,0.0,2014-04-23,FY2013,,,,,,
412,INS.L,525000.0,2014-09-24,FY2013,2415000.0,2014-09-24,FY2013,,,,,,,-578000.0,2014-09-24,FY2013,,2014-09-24,FY2014,2053000.0,2014-09-24,FY2013,1953000.0,2014-09-24,FY2013,110000.0,2014-09-24,FY2013,5776000.0,2014-09-24,FY2013,,,,716000.0,2014-09-24,FY2013,,2015-12-31,,1749000.0,2015-12-31,FY2014,123,2014-09-24,FY2013,9387000.0,2014-09-24,FY2013,0.0,2014-09-24,FY2013,7000.0,2014-09-24,FY2013,-9000.0,2014-09-24,FY2013,3500000.0,2014-09-24,FY2013,61000.0,2014-09-24,FY2013,,2015-12-31,,,2014-09-24,FY2011,,,,,,,529000.0,2014-09-24,FY2013,529000.0,2014-09-24,FY2013,698000.0,2014-09-24,FY2013,,2014-09-24,FY2013,5783000.0,2014-09-24,FY2013,388000.0,2014-09-24,FY2013,5342000.0,2014-09-24,FY2013,-198000.0,2014-09-24,FY2013,1835000.0,2014-09-24,FY2013,265000.0,2014-09-24,FY2013,0.0,2014-09-24,FY2013,,,,,,,11361000.0,2014-09-24,FY2013,,2014-09-24,FY2014,,,,7044000.0,2014-09-24,FY2013,-200000.0,2014-09-24,FY2013,42000.0,2014-09-24,FY2013,86000.0,2014-09-24,FY2013,169000.0,2014-09-24,FY2013,18808000.0,2014-09-24,FY2013,8493000.0,2014-09-24,FY2013,5268000.0,2014-09-24,FY2013,1250000.0,2014-09-24,FY2013,4973000.0,2014-09-24,FY2013,307000.0,2014-09-24,FY2013,13835000.0,2014-09-24,FY2013,0.0,2014-09-24,FY2013,,,,,,
413,INS.L,416000.0,2015-03-30,FY2014,3962000.0,2015-03-30,FY2014,,,,,,,-493000.0,2015-03-30,FY2014,,2015-03-30,FY2014,1676000.0,2015-03-30,FY2014,482000.0,2015-03-30,FY2014,188000.0,2015-03-30,FY2014,6811000.0,2015-03-30,FY2014,,,,1064000.0,2015-03-30,FY2014,,2016-06-30,,2505000.0,2016-06-30,FY2015,140,2015-03-30,FY2014,9507000.0,2015-03-30,FY2014,0.0,2015-03-30,FY2014,231000.0,2015-03-30,FY2014,-65000.0,2015-03-30,FY2014,2932000.0,2015-03-30,FY2014,9000.0,2015-03-30,FY2014,,2016-06-30,,,2015-03-30,FY2011,,,,,,,150000.0,2015-03-30,FY2014,150000.0,2015-03-30,FY2014,212000.0,2015-03-30,FY2014,,2015-03-30,FY2014,7042000.0,2015-03-30,FY2014,574000.0,2015-03-30,FY2014,4162000.0,2015-03-30,FY2014,-198000.0,2015-03-30,FY2014,1963000.0,2015-03-30,FY2014,263000.0,2015-03-30,FY2014,,2015-03-30,FY2013,,,,,,,13429000.0,2015-03-30,FY2014,,2015-03-30,FY2014,,,,8274000.0,2015-03-30,FY2014,-123000.0,2015-03-30,FY2014,0.0,2015-03-30,FY2014,-186000.0,2015-03-30,FY2014,62000.0,2015-03-30,FY2014,19890000.0,2015-03-30,FY2014,10309000.0,2015-03-30,FY2014,6614000.0,2015-03-30,FY2014,1903000.0,2015-03-30,FY2014,5419000.0,2015-03-30,FY2014,506000.0,2015-03-30,FY2014,14471000.0,2015-03-30,FY2014,0.0,2015-03-30,FY2014,,,,,,
414,INS.L,416000.0,2015-09-29,FY2014,3962000.0,2015-09-29,FY2014,,,,,,,-493000.0,2015-09-29,FY2014,,2015-09-29,FY2015,1676000.0,2015-09-29,FY2014,482000.0,2015-09-29,FY2014,188000.0,2015-09-29,FY2014,6811000.0,2015-09-29,FY2014,,,,1064000.0,2015-09-29,FY2014,,2016-12-31,,2505000.0,2016-12-31,FY2015,140,2015-09-29,FY2014,9507000.0,2015-09-29,FY2014,0.0,2015-09-29,FY2014,231000.0,2015-09-29,FY2014,-65000.0,2015-09-29,FY2014,2932000.0,2015-09-29,FY2014,9000.0,2015-09-29,FY2014,,2016-12-31,,,2015-09-29,FY2012,,,,,,,150000.0,2015-09-29,FY2014,150000.0,2015-09-29,FY2014,212000.0,2015-09-29,FY2014,,2015-09-29,FY2014,7042000.0,2015-09-29,FY2014,574000.0,2015-09-29,FY2014,4162000.0,2015-09-29,FY2014,-198000.0,2015-09-29,FY2014,1963000.0,2015-09-29,FY2014,263000.0,2015-09-29,FY2014,,2015-09-29,FY2013,,,,,,,13429000.0,2015-09-29,FY2014,,2015-09-29,FY2015,,,,8274000.0,2015-09-29,FY2014,-123000.0,2015-09-29,FY2014,0.0,2015-09-29,FY2014,-186000.0,2015-09-29,FY2014,62000.0,2015-09-29,FY2014,19890000.0,2015-09-29,FY2014,10309000.0,2015-09-29,FY2014,6614000.0,2015-09-29,FY2014,1903000.0,2015-09-29,FY2014,5419000.0,2015-09-29,FY2014,506000.0,2015-09-29,FY2014,14471000.0,2015-09-29,FY2014,0.0,2015-09-29,FY2014,,,,,,
415,INS.L,487000.0,2016-04-05,FY2015,4183000.0,2016-04-05,FY2015,,,,,,,-725000.0,2016-04-05,FY2015,,2016-04-05,FY2015,2183000.0,2016-04-05,FY2015,2504000.0,2016-04-05,FY2015,593000.0,2016-04-05,FY2015,7107000.0,2016-04-05,FY2015,,,,1172000.0,2016-04-05,FY2015,,2017-09-26,,1253000.0,2017-09-26,FY2016,158,2016-04-05,FY2015,9507000.0,2016-04-05,FY2015,0.0,2016-04-05,FY2015,541000.0,2016-04-05,FY2015,-90000.0,2016-04-05,FY2015,2528000.0,2016-04-05,FY2015,4000.0,2016-04-05,FY2015,,2017-09-26,,12000.0,2016-04-05,FY2015,,,,,,,-428000.0,2016-04-05,FY2015,-428000.0,2016-04-05,FY2015,-361000.0,2016-04-05,FY2015,,2016-04-05,FY2015,7648000.0,2016-04-05,FY2015,663000.0,2016-04-05,FY2015,4381000.0,2016-04-05,FY2015,-176000.0,2016-04-05,FY2015,2231000.0,2016-04-05,FY2015,376000.0,2016-04-05,FY2015,0.0,2016-04-05,FY2015,,,,,,,16321000.0,2016-04-05,FY2015,,2016-04-05,FY2015,,,,9615000.0,2016-04-05,FY2015,-1426000.0,2016-04-05,FY2015,98000.0,2016-04-05,FY2015,-28000.0,2016-04-05,FY2015,67000.0,2016-04-05,FY2015,20824000.0,2016-04-05,FY2015,9830000.0,2016-04-05,FY2015,7750000.0,2016-04-05,FY2015,385000.0,2016-04-05,FY2015,6613000.0,2016-04-05,FY2015,822000.0,2016-04-05,FY2015,14211000.0,2016-04-05,FY2015,0.0,2016-04-05,FY2015,,,,,,
416,INS.L,487000.0,2016-09-19,FY2015,4183000.0,2016-09-19,FY2015,,,,,,,-725000.0,2016-09-19,FY2015,,2016-09-19,FY2016,2183000.0,2016-09-19,FY2015,2504000.0,2016-09-19,FY2015,593000.0,2016-09-19,FY2015,7107000.0,2016-09-19,FY2015,,,,1172000.0,2016-09-19,FY2015,,2018-03-26,,2962000.0,2018-03-26,FY2017,158,2016-09-19,FY2015,9507000.0,2016-09-19,FY2015,0.0,2016-09-19,FY2015,541000.0,2016-09-19,FY2015,-90000.0,2016-09-19,FY2015,2528000.0,2016-09-19,FY2015,4000.0,2016-09-19,FY2015,,2018-03-26,,12000.0,2016-09-19,FY2015,,,,,,,-428000.0,2016-09-19,FY2015,-428000.0,2016-09-19,FY2015,-361000.0,2016-09-19,FY2015,,2016-09-19,FY2015,7648000.0,2016-09-19,FY2015,663000.0,2016-09-19,FY2015,4381000.0,2016-09-19,FY2015,-176000.0,2016-09-19,FY2015,2231000.0,2016-09-19,FY2015,376000.0,2016-09-19,FY2015,0.0,2016-09-19,FY2015,,,,,,,16321000.0,2016-09-19,FY2015,,2016-09-19,FY2016,,,,9615000.0,2016-09-19,FY2015,-1426000.0,2016-09-19,FY2015,98000.0,2016-09-19,FY2015,-28000.0,2016-09-19,FY2015,67000.0,2016-09-19,FY2015,20824000.0,2016-09-19,FY2015,9830000.0,2016-09-19,FY2015,7750000.0,2016-09-19,FY2015,385000.0,2016-09-19,FY2015,6613000.0,2016-09-19,FY2015,822000.0,2016-09-19,FY2015,14211000.0,2016-09-19,FY2015,0.0,2016-09-19,FY2015,,,,,,
417,INS.L,632000.0,2017-03-28,FY2016,5998000.0,2017-03-28,FY2016,,,,,,,-1003000.0,2017-03-28,FY2016,84000.0,2017-03-28,FY2016,4189000.0,2017-03-28,FY2016,127000.0,2017-03-28,FY2016,599000.0,2017-03-28,FY2016,9092000.0,2017-03-28,FY2016,,,,1203000.0,2017-03-28,FY2016,,2018-09-24,,2962000.0,2018-09-24,FY2017,196,2017-03-28,FY2016,11015000.0,2017-03-28,FY2016,0.0,2017-03-28,FY2016,429000.0,2017-03-28,FY2016,-40000.0,2017-03-28,FY2016,6592000.0,2017-03-28,FY2016,0.0,2017-03-28,FY2016,,2018-09-24,,4823000.0,2017-03-28,FY2016,,,,,,,1058000.0,2017-03-28,FY2016,1058000.0,2017-03-28,FY2016,23000.0,2017-03-28,FY2016,10000.0,2017-03-28,FY2016,10471000.0,2017-03-28,FY2016,947000.0,2017-03-28,FY2016,4904000.0,2017-03-28,FY2016,-259000.0,2017-03-28,FY2016,1136000.0,2017-03-28,FY2016,374000.0,2017-03-28,FY2016,,2017-03-28,FY2015,,,,,,,18319000.0,2017-03-28,FY2016,,2017-03-28,FY2016,,,,11893000.0,2017-03-28,FY2016,617000.0,2017-03-28,FY2016,244000.0,2017-03-28,FY2016,-831000.0,2017-03-28,FY2016,-1035000.0,2017-03-28,FY2016,30942000.0,2017-03-28,FY2016,13170000.0,2017-03-28,FY2016,12014000.0,2017-03-28,FY2016,113000.0,2017-03-28,FY2016,12784000.0,2017-03-28,FY2016,916000.0,2017-03-28,FY2016,18158000.0,2017-03-28,FY2016,84000.0,2017-03-28,FY2016,,,,,,
