datadate,apq,rectq,xadq,obq,fatbq,capxq,dmq,cheq,oancfq,cogsq,drcq,drltq,dpq,ebitq,ebitdaq,empq,gdwliaq,dvtq,txpq,xintq,intanq,nopiq,scstkcq,niq,ibq,piq,acoq,lcoq,aoq,loq,ppegtq,ppentq,pstkqq,xrdq,revtq,fatlq,xsgaq,spiq,txfedq,txdiq,txtq,atq,lctq,actq,dlcq,ceqq,invtq,ltq,pstkq,dcvtq,dcpstkq,txfoq,dlttq,drq,dcq,count
2004-02-29,133912349.865272,129926426.00896823,,,,,,100972266.304078,,138451448.410607,,,,119725146.04693,129803427.775766,4974,3725944.52785539,58645459.8152586,,,14715979.77588419,2565299.71264654,,62672264.941883,62672264.941883,99244393.8631641,,88616541.1193859,5748.92863889911,31140668.8972189,46259712.4476748,10153246.7461446,,,386847963.190916,,115347142.98072,-2875741.85914709,,,,353162435.216211,251607610.810058,315826976.325654,530178.9744762515,67772203.4144353,84928284.0126077,282757861.255009,,,,,9581.54773149851,,,2
2004-03-30,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,2
2004-05-31,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,2
2004-07-14,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,2
2004-08-31,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,2
2004-11-04,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,2
2004-11-28,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,2
2004-11-30,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,3
2005-02-28,145845534.674837,147778637.88988948,,,,,,114287763.961674,,152018791.159505,,,,119725146.04693,129803427.775766,5045,3030571.03454892,73690507.3570855,,,14289365.26400362,621155.644029788,,80861651.7766132,80861651.7766132,125248514.900047,,96707387.9648395,17409.0707407452,27669280.6725108,47707121.0951085,9607021.59757282,,,443148592.068498,,128910687.02107,-559179.352192735,,,,391433206.526041,277061182.661982,351172293.168164,1979063.1618079108,83664512.1658732,89105891.3166005,304763888.7503144,,,,,33425.4158222308,,,3
2005-03-30,148171883.863422,151433599.10418764,,,,,,120206971.065538,,155552305.852018,,,,119725146.04693,129803427.775766,5109,2156390.96745039,85352041.321655,,,13800902.19168249,-317198.155212058,,90944745.637236,90944745.637236,139560927.8034,,102588561.251479,2782.43995800051,22030663.9774585,49393178.5244355,9501336.84658222,,,462950707.531998,,133049322.691689,-409018.673826074,,,,402091789.550632,286141951.620835,358052025.50539,1464259.02789777,90682500.6711945,86411455.3356637,308172615.5982939,,,,,33425.4158222308,,,3
2005-05-31,148171883.863422,151433599.10418764,,,,,,120206971.065538,,155552305.852018,,,,138136535.34198,144248588.891602,5109,2156390.96745039,85352041.321655,,,13800902.19168249,-317198.155212058,,90944745.637236,90944745.637236,139560927.8034,,102588561.251479,2782.43995800051,22030663.9774585,49393178.5244355,9501336.84658222,,,462950707.531998,,133049322.691689,-409018.673826074,,,,402091789.550632,286141951.620835,358052025.50539,1464259.02789777,90682500.6711945,86411455.3356637,308172615.5982939,,,,,33425.4158222308,,,3
2005-06-08,148171883.863422,151433599.10418764,,,,,,120206971.065538,,155552305.852018,,,,138136535.34198,144248588.891602,5109,2156390.96745039,85352041.321655,,,13800902.19168249,-317198.155212058,,90944745.637236,90944745.637236,139560927.8034,,102588561.251479,2782.43995800051,22030663.9774585,49393178.5244355,9501336.84658222,,,462950707.531998,,133049322.691689,-409018.673826074,,,,402091789.550632,286141951.620835,358052025.50539,1464259.02789777,90682500.6711945,86411455.3356637,308172615.5982939,,,,,33425.4158222308,,,3
2005-08-31,148171883.863422,151433599.10418764,,,,,,120206971.065538,,155552305.852018,,,,138136535.34198,144248588.891602,5109,2156390.96745039,85352041.321655,,,13800902.19168249,-317198.155212058,,90944745.637236,90944745.637236,139560927.8034,,102588561.251479,2782.43995800051,22030663.9774585,49393178.5244355,9501336.84658222,,,462950707.531998,,133049322.691689,-409018.673826074,,,,402091789.550632,286141951.620835,358052025.50539,1464259.02789777,90682500.6711945,86411455.3356637,308172615.5982939,,,,,33425.4158222308,,,3
