datadate,apq,rectq,xadq,obq,fatbq,capxq,dmq,cheq,oancfq,cogsq,drcq,drltq,dpq,ebitq,ebitdaq,empq,gdwliaq,dvtq,txpq,xintq,intanq,nopiq,scstkcq,niq,ibq,piq,acoq,lcoq,aoq,loq,ppegtq,ppentq,pstkqq,xrdq,revtq,fatlq,xsgaq,spiq,txfedq,txdiq,txtq,atq,lctq,actq,dlcq,ceqq,invtq,ltq,pstkq,dcvtq,dcpstkq,txfoq,dlttq,drq,dcq,count
2011-01-31,1967334387.22448,2439101665.20437,,,,4465861533.27627,,1269860224.80205,6964973631.28611,30943415914.9369,,,5613868512.83972,2496388313.39942,7287810645.34698,52452,33901092.6750304,570877872.993794,,944915888.294458,33901092.6750304,214670320.9929386,,942787508.880805,942787508.880805,1575000766.10315,1658493848.59833,3130493736.78579,11322788195.05671,17058573381.6606,,8525315360.36807,,264560380.162636,33354890933.4475,,2140022071.90242,134898378.664669,,,,93056539581.2112,13482205300.5564,6924879755.51038,97392858922.4267,17377604770.0621,1128400517.54761,75321381164.88342,,,,,44780602482.6664,,,8
2011-05-20,1866861307.39627,2679198680.45701,,,,4965428415.87492,,16866636429.3446,7417294464.10102,34904197582.4414,,,5564131780.15635,-4814507675.35806,8311920851.26699,52970,33901092.6750304,303830366.806975,,959758867.829224,33901092.6750304,131442268.06975375,3352584299.09801,-9357585194.46783,-9357585194.46783,-5747532791.94227,1110653781.35899,2812313891.04029,9427878787.97354,25983190368.1299,,9522898921.94828,,315225881.058328,37994737567.6488,,2057269172.57967,-8130868212.98857,,,,110956929449.91,14066183175.5863,21866206376.0673,126631988192.54361,11688991879.7354,1209717484.90679,98935187053.63803,,,,,58885813509.9218,,,9
2011-08-09,1866861307.39627,2679198680.45701,,,,4965428415.87492,,16866636429.3446,7417294464.10102,34904197582.4414,,,5564131780.15635,-4814507675.35806,8311920851.26699,52970,33901092.6750304,303830366.806975,,959758867.829224,33901092.6750304,131442268.06975375,3352584299.09801,-9357585194.46783,-9357585194.46783,-5747532791.94227,1110653781.35899,2812313891.04029,9427878787.97354,25983190368.1299,,9522898921.94828,,315225881.058328,37994737567.6488,,2057269172.57967,-8130868212.98857,,,,110956929449.91,14066183175.5863,21866206376.0673,126631988192.54361,11688991879.7354,1209717484.90679,98935187053.63803,,,,,58885813509.9218,,,9
2011-11-04,1866861307.39627,2679198680.45701,,,,4965428415.87492,,16866636429.3446,7417294464.10102,34904197582.4414,,,5564131780.15635,-4814507675.35806,8311920851.26699,52970,33901092.6750304,303830366.806975,,959758867.829224,33901092.6750304,131442268.06975375,3352584299.09801,-9357585194.46783,-9357585194.46783,-5747532791.94227,1110653781.35899,2812313891.04029,9427878787.97354,25983190368.1299,,9522898921.94828,,315225881.058328,37994737567.6488,,2057269172.57967,-8130868212.98857,,,,110956929449.91,14066183175.5863,21866206376.0673,126631988192.54361,11688991879.7354,1209717484.90679,98935187053.63803,,,,,58885813509.9218,,,9
2012-02-13,1866861307.39627,2679198680.45701,,,,4965428415.87492,,16866636429.3446,7417294464.10102,34904197582.4414,,,5564131780.15635,-4814507675.35806,8311920851.26699,52970,33901092.6750304,303830366.806975,,959758867.829224,33901092.6750304,131442268.06975375,3352584299.09801,-9357585194.46783,-9357585194.46783,-5747532791.94227,1110653781.35899,2812313891.04029,9427878787.97354,25983190368.1299,,9522898921.94828,,315225881.058328,37994737567.6488,,2057269172.57967,-8130868212.98857,,,,110956929449.91,14066183175.5863,21866206376.0673,126631988192.54361,11688991879.7354,1209717484.90679,98935187053.63803,,,,,58885813509.9218,,,9
2012-05-14,2395223555.86423,3241793046.14084,,,,5509951961.10641,,9712938241.09192,-21818723.517333,40345083136.6107,,,5272624303.53908,-4854765509.89231,3222072148.00902,52046,3998590.40946974,303830366.806975,,980145043.483512,3998590.40946974,-14221401.73934102,3352584299.09801,-5897090957.84515,-5897090957.84515,-5686757557.79684,2863896074.40512,4268351916.41503,28614486352.94122,41100650744.7759,,7118788584.61167,,187020863.510086,37689551345.09,,1882823056.1662,-2578524975.84249,,,,117214950865.563,17523256631.2357,17248515747.5541,115290851794.0573,5938864910.8588,1429888385.91617,111085217390.98958,,,,,52461310014.9777,,,10
2012-08-01,2395223555.86423,3241793046.14084,,,,5509951961.10641,,9712938241.09192,-21818723.517333,40345083136.6107,,,5272624303.53908,-4854765509.89231,3222072148.00902,52046,3998590.40946974,303830366.806975,,980145043.483512,3998590.40946974,-14221401.73934102,3352584299.09801,-5897090957.84515,-5897090957.84515,-5686757557.79684,2863896074.40512,4268351916.41503,28614486352.94122,41100650744.7759,,7118788584.61167,,187020863.510086,37689551345.09,,1882823056.1662,-2578524975.84249,,,,117214950865.563,17523256631.2357,17248515747.5541,115290851794.0573,5938864910.8588,1429888385.91617,111085217390.98958,,,,,52461310014.9777,,,10
2012-10-31,2395223555.86423,3241793046.14084,,,,5509951961.10641,,9712938241.09192,-21818723.517333,40345083136.6107,,,5272624303.53908,-4854765509.89231,3222072148.00902,52046,3998590.40946974,303830366.806975,,980145043.483512,3998590.40946974,-14221401.73934102,3352584299.09801,-5897090957.84515,-5897090957.84515,-5686757557.79684,2863896074.40512,4268351916.41503,28614486352.94122,41100650744.7759,,7118788584.61167,,187020863.510086,37689551345.09,,1882823056.1662,-2578524975.84249,,,,117214950865.563,17523256631.2357,17248515747.5541,115290851794.0573,5938864910.8588,1429888385.91617,111085217390.98958,,,,,52461310014.9777,,,10
2012-11-01,2395223555.86423,3241793046.14084,,,,5509951961.10641,,9712938241.09192,-21818723.517333,40345083136.6107,,,5272624303.53908,-4854765509.89231,3222072148.00902,52046,3998590.40946974,303830366.806975,,980145043.483512,3998590.40946974,-14221401.73934102,3352584299.09801,-5897090957.84515,-5897090957.84515,-5686757557.79684,2863896074.40512,4268351916.41503,28614486352.94122,41100650744.7759,,7118788584.61167,,187020863.510086,37689551345.09,,1882823056.1662,-2578524975.84249,,,,117214950865.563,17523256631.2357,17248515747.5541,115290851794.0573,5938864910.8588,1429888385.91617,111085217390.98958,,,,,52461310014.9777,,,10
2013-02-04,2395223555.86423,3241793046.14084,,,,5509951961.10641,,9712938241.09192,-21818723.517333,40345083136.6107,,,5272624303.53908,-4854765509.89231,3222072148.00902,52046,3998590.40946974,303830366.806975,,980145043.483512,3998590.40946974,-14221401.73934102,3352584299.09801,-5897090957.84515,-5897090957.84515,-5686757557.79684,2863896074.40512,4268351916.41503,28614486352.94122,41100650744.7759,,7118788584.61167,,187020863.510086,37689551345.09,,1882823056.1662,-2578524975.84249,,,,117214950865.563,17523256631.2357,17248515747.5541,115290851794.0573,5938864910.8588,1429888385.91617,111085217390.98958,,,,,52461310014.9777,,,10
2013-04-30,2339722202.99395,3298483227.51885,,,,4587705795.20119,,12257263185.5823,1822172561.84308,40796806263.4038,,,4337801019.21648,-4854765509.89231,2637956739.9651,48757,3998590.40946974,303830366.806975,,838400805.287186,3998590.40946974,-21944630.003185004,6966470162.96848,-4786276061.15299,-4786276061.15299,-4560893117.10373,1998197549.10288,3393637154.68733,19062291552.712578,34999924814.7362,,6945740798.91708,,187020863.510086,39531700439.0063,,2493390487.31288,-2302984852.95679,,16559744.6650388,200309353.434547,104688386989.065,14297282645.7161,19144070570.1242,102839813822.0618,7799388302.8984,1590126607.92016,96741581338.78336,1940000000,,1940000000,200309353.434547,47444373878.331,,,11
2013-07-31,2339722202.99395,3298483227.51885,,,,4587705795.20119,,12257263185.5823,1822172561.84308,40796806263.4038,,,4337801019.21648,-4854765509.89231,2637956739.9651,48757,3998590.40946974,303830366.806975,,838400805.287186,3998590.40946974,-21944630.003185004,6966470162.96848,-4786276061.15299,-4786276061.15299,-4560893117.10373,1998197549.10288,3393637154.68733,19062291552.712578,34999924814.7362,,6945740798.91708,,187020863.510086,39531700439.0063,,2493390487.31288,-2302984852.95679,,16559744.6650388,200309353.434547,104688386989.065,14297282645.7161,19144070570.1242,102839813822.0618,7799388302.8984,1590126607.92016,96741581338.78336,1940000000,,1940000000,200309353.434547,47444373878.331,,,11
2013-10-31,2339722202.99395,3298483227.51885,,,,4587705795.20119,,12257263185.5823,1822172561.84308,40796806263.4038,,,4337801019.21648,-4854765509.89231,2637956739.9651,48757,3998590.40946974,303830366.806975,,838400805.287186,3998590.40946974,-21944630.003185004,6966470162.96848,-4786276061.15299,-4786276061.15299,-4560893117.10373,1998197549.10288,3393637154.68733,19062291552.712578,34999924814.7362,,6945740798.91708,,187020863.510086,39531700439.0063,,2493390487.31288,-2302984852.95679,,16559744.6650388,200309353.434547,104688386989.065,14297282645.7161,19144070570.1242,102839813822.0618,7799388302.8984,1590126607.92016,96741581338.78336,1940000000,,1940000000,200309353.434547,47444373878.331,,,11
