datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatbq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2006-02-09,363539300.028014,1974323667.19582,1695856151.2746298,753251492.389579,7295476289.47614,-956620203.193576,2114044213.27855,337924854.981791,6344401023.06471,4,13,,,,5407795966.0099,2294061920.25399,,330195549.164254,242998700.158745,,242998700.158745,75454629.9374358,1150834820.57974,725454267.872122,23232,,,40825956.1116818,352513672.611822,288885275.9361282,112238020.730227,748902522.364367,2361594505.92959,272542044.261836,5038533816.78962,352513672.611822,25401938.5563545,875180797.46008,,628697979.269773,,3465106113.73611,,,929103083.761322,7937354613.12914,-1853254.27210757,-150756057.521711,,,,183763751.610795,,,-82190591.4651228,,795431559.622747
2006-03-30,363539300.028014,1974323667.19582,1695856151.2746298,753251492.389579,7295476289.47614,-956620203.193576,2114044213.27855,337924854.981791,6344401023.06471,4,13,,,,5407795966.0099,2294061920.25399,,330195549.164254,242998700.158745,,242998700.158745,75454629.9374358,1150834820.57974,725454267.872122,23232,,,40825956.1116818,352513672.611822,288885275.9361282,112238020.730227,748902522.364367,2361594505.92959,272542044.261836,5038533816.78962,352513672.611822,25401938.5563545,875180797.46008,,628697979.269773,,3465106113.73611,,,929103083.761322,7937354613.12914,-1853254.27210757,-150756057.521711,,,,183763751.610795,,,-82190591.4651228,,795431559.622747
2006-05-12,363539300.028014,1974323667.19582,1695856151.2746298,753251492.389579,7295476289.47614,-956620203.193576,2114044213.27855,337924854.981791,6344401023.06471,4,14,,,,5407795966.0099,2294061920.25399,,330195549.164254,242998700.158745,,242998700.158745,75454629.9374358,1031932239.36652,776288296.561086,23232,,,40825956.1116818,352513672.611822,288885275.9361282,112238020.730227,748902522.364367,2361594505.92959,272542044.261836,5038533816.78962,352513672.611822,25401938.5563545,875180797.46008,,628697979.269773,,3465106113.73611,,,929103083.761322,7937354613.12914,-1853254.27210757,-150756057.521711,,,,183763751.610795,,,-82190591.4651228,,795431559.622747
2006-08-04,397981365.374809,2252055687.65936,2022152193.013769,865905932.432432,9180848420.95869,-946568248.852626,2813596464.81387,402582956.144824,7797754982.66191,4,15,,,,6221458303.41662,2475518911.26976,,360958364.609893,302286859.765426,,302286859.765426,116413889.342172,1031932239.36652,776288296.561086,25732,,,87273741.2034676,450173478.327384,520595910.5048444,170562045.130036,807796789.903111,2993483944.16114,363124682.049975,6191320573.431918,450173478.327384,26651083.6308006,689974549.719531,,711799097.654258,,4186229964.04895,,,972265761.601224,9434493385.5176,-1491482.66190719,-7359611.16777155,,,,150356122.641509,,,-76515505.609383,,949766378.888322
2006-11-09,397981365.374809,2252055687.65936,2022152193.013769,865905932.432432,9180848420.95869,-946568248.852626,2813596464.81387,402582956.144824,7797754982.66191,4,16,,,,6221458303.41662,2475518911.26976,,360958364.609893,302286859.765426,,302286859.765426,116413889.342172,1031932239.36652,776288296.561086,25732,,,87273741.2034676,450173478.327384,520595910.5048444,170562045.130036,807796789.903111,2993483944.16114,363124682.049975,6191320573.431918,450173478.327384,26651083.6308006,689974549.719531,,711799097.654258,,4186229964.04895,,,972265761.601224,9434493385.5176,-1491482.66190719,-7359611.16777155,,,,150356122.641509,,,-76515505.609383,,949766378.888322
2007-02-08,397981365.374809,2252055687.65936,2022152193.013769,865905932.432432,9180848420.95869,-946568248.852626,2813596464.81387,402582956.144824,7797754982.66191,5,17,,,,6221458303.41662,2475518911.26976,,360958364.609893,302286859.765426,,302286859.765426,116413889.342172,1031932239.36652,776288296.561086,25732,,,87273741.2034676,450173478.327384,520595910.5048444,170562045.130036,807796789.903111,2993483944.16114,363124682.049975,6191320573.431918,450173478.327384,26651083.6308006,689974549.719531,,711799097.654258,,4186229964.04895,,,972265761.601224,9434493385.5176,-1491482.66190719,-7359611.16777155,,,,150356122.641509,,,-76515505.609383,,949766378.888322
2007-03-30,397981365.374809,2252055687.65936,2022152193.013769,865905932.432432,9180848420.95869,-946568248.852626,2813596464.81387,402582956.144824,7797754982.66191,5,17,,,,6221458303.41662,2475518911.26976,,360958364.609893,302286859.765426,,302286859.765426,116413889.342172,1031932239.36652,776288296.561086,25732,,,87273741.2034676,450173478.327384,520595910.5048444,170562045.130036,807796789.903111,2993483944.16114,363124682.049975,6191320573.431918,450173478.327384,26651083.6308006,689974549.719531,,711799097.654258,,4186229964.04895,,,972265761.601224,9434493385.5176,-1491482.66190719,-7359611.16777155,,,,150356122.641509,,,-76515505.609383,,949766378.888322
2007-05-09,397981365.374809,2252055687.65936,2022152193.013769,865905932.432432,9180848420.95869,-946568248.852626,2813596464.81387,402582956.144824,7797754982.66191,5,18,,,,6221458303.41662,2475518911.26976,,360958364.609893,302286859.765426,,302286859.765426,116413889.342172,774761786.851096,557464311.55737,25732,,,87273741.2034676,450173478.327384,520595910.5048444,170562045.130036,807796789.903111,2993483944.16114,363124682.049975,6191320573.431918,450173478.327384,26651083.6308006,689974549.719531,,711799097.654258,,4186229964.04895,,,972265761.601224,9434493385.5176,-1491482.66190719,-7359611.16777155,,,,150356122.641509,,,-76515505.609383,,949766378.888322
2007-07-26,509894422.822211,2329679323.48446,2484552063.8478518,850018189.845474,9213279918.4921,-1173315466.80251,2834996078.11173,407934521.990151,7942034279.50416,5,19,,,,6365232524.36747,2522096709.1187,,347259924.605196,265534956.69893,,265534956.69893,95410513.160129,774761786.851096,557464311.55737,29872,,,136717389.030396,280605451.519783,717106176.260827,166707371.709968,792777922.227882,3007394255.05179,283038820.852437,6190060133.808791,280605451.519783,46083010.3582951,375826127.356088,,496748188.147393,,4082900355.23858,,,979556276.447614,9337748485.65121,24476071.3194091,-14863399.5584989,,,,108060582.102224,,,-78890351.5028018,,942943559.857361
2007-10-29,509894422.822211,2329679323.48446,2484552063.8478518,850018189.845474,9213279918.4921,-1173315466.80251,2834996078.11173,407934521.990151,7942034279.50416,5,20,,,,6365232524.36747,2522096709.1187,,347259924.605196,265534956.69893,,265534956.69893,95410513.160129,774761786.851096,557464311.55737,29872,,,136717389.030396,280605451.519783,717106176.260827,166707371.709968,792777922.227882,3007394255.05179,283038820.852437,6190060133.808791,280605451.519783,46083010.3582951,375826127.356088,,496748188.147393,,4082900355.23858,,,979556276.447614,9337748485.65121,24476071.3194091,-14863399.5584989,,,,108060582.102224,,,-78890351.5028018,,942943559.857361
